"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.039129042E0,1.489402771E-1,-8.581654358E-1,9.694589996E0
8.139618042E0,3.227288818E-1,-1.622925110E0,9.222322083E0
8.240107500E0,9.599537659E-1,-2.100881195E0,9.421258392E0
8.340595500E0,9.047186279E-1,-2.535726929E0,9.333690491E0
8.441084500E0,1.121168518E0,-2.744393005E0,8.881031799E0
8.541573500E0,9.987231445E-1,-2.736010437E0,9.347611542E0
8.642062500E0,7.949967957E-1,-2.341730347E0,9.480984192E0
8.742551500E0,6.891668701E-1,-1.508413239E0,9.732760620E0
8.843040500E0,6.378236389E-1,-8.340655518E-1,9.733658752E0
8.943529500E0,2.420466614E-1,-5.912704468E-1,9.916428680E0
9.044018500E0,8.367599487E-2,-3.592529297E-1,1.014635056E1
9.144506500E0,-7.708969116E-2,-4.737648010E-1,9.883946228E0
9.244994250E0,-1.357676697E-1,-4.882846069E-1,9.900561676E0
9.345483250E0,-9.282197571E-1,2.630030823E-1,9.384434967E0
9.445972250E0,-8.608598328E-1,1.890568542E-1,1.001686981E1
9.546461250E0,-6.611750793E-1,-5.104385376E-2,9.705367584E0
9.646950250E0,-5.487588501E-1,6.706054688E-2,9.944570160E0
9.747438250E0,-8.373587036E-1,-3.194357300E-1,1.013557297E1
9.847927250E0,-1.222956848E0,-4.957690430E-1,9.663454742E0
9.948416250E0,-1.084195404E0,-3.591032410E-1,9.670041046E0
1.004890525E1,-2.372566223E-1,1.661544800E-2,9.524244232E0
1.014939425E1,-2.941383362E-1,2.746788025E-1,9.855804749E0
1.024988400E1,-3.131488037E-1,2.597099304E-1,9.524992676E0
1.035037200E1,-2.757266235E-1,3.379971313E-1,9.805060272E0
1.045086100E1,-4.664300537E-1,2.170486450E-1,9.619296570E0
1.055135000E1,-2.567161560E-1,2.634521484E-2,1.026834686E1
1.065183900E1,2.017803955E-1,8.532257080E-2,9.732311554E0
1.075232700E1,7.918533325E-2,2.517764282E-1,9.599687347E0
1.085281600E1,1.161584473E-1,2.043251038E-1,9.401200104E0
1.095330500E1,2.948867798E-2,6.556365967E-2,9.715696106E0
1.105379400E1,-2.460882568E-1,-3.504212952E-1,9.342671814E0
