"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,9.796078949E0,-5.433700562E-2,1.081800385E0
1.004880000E-1,9.791588287E0,-6.242019653E-2,1.082698517E0
2.009760000E-1,9.755064240E0,-4.071533203E-2,1.074765015E0
3.014640000E-1,9.731862488E0,-5.328918457E-2,1.057850189E0
4.019520000E-1,9.736203461E0,-3.248245239E-2,1.063238983E0
5.024410000E-1,9.742041321E0,-5.029541016E-2,1.076561279E0
6.029323750E-1,9.763746185E0,-4.730163574E-2,1.065634003E0
7.034203750E-1,9.767338715E0,-4.490661621E-2,1.065933380E0
8.039083750E-1,9.769733734E0,-5.254074097E-2,1.069825287E0
9.043963750E-1,9.763147430E0,-5.104385376E-2,1.073567505E0
1.004884375E0,9.750723267E0,-4.535568237E-2,1.069376221E0
1.105373375E0,9.769134979E0,-4.790039063E-2,1.065184937E0
1.205861375E0,9.749525757E0,-4.640350342E-2,1.068029022E0
1.306349375E0,9.758956146E0,-4.266128540E-2,1.071771240E0
1.406837375E0,9.761650543E0,-5.508544922E-2,1.063837738E0
1.507326375E0,9.753267975E0,-5.822891235E-2,1.067579956E0
1.607811125E0,9.757908325E0,-4.131408691E-2,1.076860657E0
1.708299125E0,9.745184784E0,-5.673202515E-2,1.072070618E0
1.808788125E0,9.750124512E0,-5.613327026E-2,1.067430267E0
1.909276125E0,9.745184784E0,-5.658233643E-2,1.066532135E0
2.009764125E0,9.755064240E0,-5.119354248E-2,1.072519684E0
2.110253125E0,9.758507080E0,-5.239105225E-2,1.073268127E0
2.210741125E0,9.757608948E0,-4.954696655E-2,1.077309723E0
2.311229125E0,9.755962372E0,-6.346801758E-2,1.075214081E0
2.411718125E0,9.767937469E0,-4.909790039E-2,1.066981201E0
2.512206125E0,9.741592255E0,-5.448669434E-2,1.070424042E0
2.612694625E0,9.760902100E0,-4.745132446E-2,1.069376221E0
2.713183625E0,9.755662994E0,-5.328918457E-2,1.064885559E0
2.813671625E0,9.750872955E0,-5.254074097E-2,1.081950073E0
2.914160625E0,9.754016418E0,-4.101470947E-2,1.067430267E0
3.014648625E0,9.750573578E0,-6.212081909E-2,1.059197388E0
3.115137625E0,9.747579803E0,-3.966751099E-2,1.068178711E0
3.215625625E0,9.752220154E0,-5.044509888E-2,1.068627777E0
3.316114625E0,9.770033112E0,-4.909790039E-2,1.077758789E0
3.416602625E0,9.770781555E0,-4.685256958E-2,1.072968750E0
3.517091625E0,9.760602722E0,-5.733078003E-2,1.074016571E0
3.617582667E0,9.746382294E0,-4.595443726E-2,1.075363770E0
3.718071667E0,9.743987274E0,-3.981719971E-2,1.067430267E0
3.818559667E0,9.750423889E0,-5.179229736E-2,1.065933380E0
3.919048667E0,9.738598480E0,-4.745132446E-2,1.072070618E0
4.019537667E0,9.755812683E0,-4.415817261E-2,1.064735870E0
4.120025667E0,9.758207703E0,-5.418731689E-2,1.065184937E0
4.220514667E0,9.769284668E0,-6.062393188E-2,1.073717194E0
4.321002667E0,9.764494629E0,-4.281097412E-2,1.072819061E0
4.421491667E0,9.762249298E0,-5.583389282E-2,1.071172485E0
4.521980667E0,9.745633850E0,-4.415817261E-2,1.078207855E0
4.622464792E0,9.766141205E0,-4.999603271E-2,1.080752563E0
4.722953792E0,9.765392761E0,-6.256988525E-2,1.086740112E0
4.823442792E0,9.757608948E0,-4.909790039E-2,1.075363770E0
4.923930792E0,9.765692139E0,-4.625381470E-2,1.074166260E0
5.024419792E0,9.750723267E0,-5.134323120E-2,1.064137115E0
5.124908792E0,9.742939453E0,-4.475692749E-2,1.065334625E0
5.225396792E0,9.743238831E0,-4.236190796E-2,1.075663147E0
5.325885792E0,9.755812683E0,-4.176315308E-2,1.068328400E0
5.426374792E0,9.761201477E0,-5.418731689E-2,1.067579956E0
5.526862792E0,9.770482178E0,-4.505630493E-2,1.067879333E0
5.627351250E0,9.765991516E0,-5.373825073E-2,1.069825287E0
5.727840250E0,9.763895874E0,-4.595443726E-2,1.078956299E0
5.828328250E0,9.767488403E0,-4.640350342E-2,1.078207855E0
5.928817250E0,9.764344940E0,-5.104385376E-2,1.076860657E0
6.029306250E0,9.765243073E0,-4.475692749E-2,1.065783691E0
6.129795250E0,9.753267975E0,-4.954696655E-2,1.080752563E0
6.230283250E0,9.758956146E0,-4.819976807E-2,1.069974976E0
6.330772250E0,9.738598480E0,-4.625381470E-2,1.076561279E0
6.431261250E0,9.752669220E0,-4.849914551E-2,1.065933380E0
6.531750250E0,9.745933228E0,-4.954696655E-2,1.084494781E0
6.632239417E0,9.764045563E0,-4.954696655E-2,1.080752563E0
6.732727417E0,9.779164124E0,-5.463638306E-2,1.075812836E0
6.833216417E0,9.768236847E0,-5.972579956E-2,1.076860657E0
6.933705417E0,9.759704590E0,-5.014572144E-2,1.077010345E0
7.034194417E0,9.753567352E0,-5.448669434E-2,1.059945831E0
7.134682417E0,9.747729492E0,-4.400848389E-2,1.059646454E0
7.235171417E0,9.753567352E0,-4.535568237E-2,1.077459412E0
7.335660417E0,9.743538208E0,-4.700225830E-2,1.066681824E0
7.436149417E0,9.755213928E0,-4.490661621E-2,1.072369995E0
7.536638417E0,9.756411438E0,-3.861968994E-2,1.071471863E0
7.637127000E0,9.749226379E0,-5.074447632E-2,1.065634003E0
7.737616000E0,9.758507080E0,-4.565505981E-2,1.079854431E0
7.838105000E0,9.753717041E0,-5.538482666E-2,1.062340851E0
7.938594000E0,9.765243073E0,-5.418731689E-2,1.074615326E0
8.039083000E0,9.765542450E0,-5.463638306E-2,1.068777466E0
8.139572000E0,9.763746185E0,-4.221221924E-2,1.076710968E0
8.240061000E0,9.747579803E0,-4.685256958E-2,1.073866882E0
8.340549000E0,9.755213928E0,-5.897735596E-2,1.073268127E0
8.441038000E0,9.754615173E0,-4.490661621E-2,1.068478088E0
8.541527000E0,9.751172333E0,-5.179229736E-2,1.064137115E0
8.642016125E0,9.756261749E0,-4.236190796E-2,1.073866882E0
8.742505125E0,9.757010193E0,-4.251159668E-2,1.080902252E0
8.842994125E0,9.758207703E0,-5.149291992E-2,1.064137115E0
8.943483125E0,9.761351166E0,-5.164260864E-2,1.058299255E0
9.043972125E0,9.761800232E0,-5.763015747E-2,1.079555054E0
9.144461125E0,9.767189026E0,-4.849914551E-2,1.070424042E0
9.244950125E0,9.755064240E0,-4.625381470E-2,1.075513458E0
9.345438125E0,9.756561127E0,-5.059478760E-2,1.079105988E0
9.445927125E0,9.754166107E0,-4.685256958E-2,1.066681824E0
9.546416125E0,9.743837585E0,-4.550537109E-2,1.063538361E0
9.646905625E0,9.752968597E0,-4.864883423E-2,1.069675598E0
9.747394625E0,9.755363617E0,-4.700225830E-2,1.075363770E0
9.847883625E0,9.751771088E0,-5.164260864E-2,1.072819061E0
9.948372625E0,9.766889648E0,-4.445755005E-2,1.074914703E0
1.004886162E1,9.751022644E0,-4.505630493E-2,1.089584198E0
1.014935062E1,9.764644318E0,-5.209167480E-2,1.060544586E0
1.024983963E1,9.752669220E0,-3.981719971E-2,1.088686066E0
1.035032863E1,9.743687897E0,-5.478607178E-2,1.065334625E0
1.045081762E1,9.755812683E0,-4.939727783E-2,1.053808594E0
1.055130662E1,9.758806458E0,-5.628295898E-2,1.067430267E0
1.065179492E1,9.742490387E0,-4.550537109E-2,1.071621552E0
1.075228392E1,9.757010193E0,-4.266128540E-2,1.070274353E0
1.085277292E1,9.759405212E0,-4.625381470E-2,1.077758789E0
1.095326192E1,9.768236847E0,-5.777984619E-2,1.074315948E0
1.105374992E1,9.750872955E0,-4.550537109E-2,1.076561279E0
1.115423892E1,9.761201477E0,-5.822891235E-2,1.083446960E0
1.125472792E1,9.748328247E0,-4.505630493E-2,1.071322174E0
1.135521692E1,9.750723267E0,-5.882766724E-2,1.067130890E0
1.145570592E1,9.761500854E0,-5.733078003E-2,1.073268127E0
1.155619492E1,9.757459259E0,-4.894821167E-2,1.088087311E0
1.165668417E1,9.757159882E0,-5.658233643E-2,1.078656921E0
1.175717317E1,9.762997742E0,-5.149291992E-2,1.077908478E0
1.185766217E1,9.748627625E0,-4.595443726E-2,1.069974976E0
