"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.394300000E-1,-1.882656477E-3,1.407947857E-3,-5.604911130E-4
2.399200000E-1,1.821330748E-3,-1.733466052E-4,7.015762385E-4
3.404100000E-1,1.209619455E-3,1.810458489E-3,-1.922876108E-4
4.409000000E-1,1.917621121E-4,-1.099064481E-3,-1.602114644E-4
5.413887500E-1,1.540454105E-3,7.084980607E-4,6.225355901E-5
6.418787500E-1,4.604253918E-4,2.565777395E-3,4.621795379E-4
7.423687500E-1,9.129066020E-4,-4.173922352E-4,6.472130772E-4
8.428587500E-1,-1.145982184E-3,2.277875319E-4,1.321181655E-3
9.433487500E-1,-1.808620989E-3,1.683164388E-3,-3.930709790E-4
1.043838750E0,-2.740258351E-4,4.803808406E-5,-5.089542829E-4
1.144328750E0,-7.705157623E-4,2.551857848E-3,-8.768704720E-5
1.244818750E0,-4.920698702E-4,9.563132189E-4,1.335450215E-3
1.345308750E0,1.371068880E-3,-1.558475196E-4,8.309071418E-4
1.445798750E0,6.710169837E-4,-1.390643883E-3,5.084611475E-4
1.546289125E0,1.421974972E-3,5.532684736E-4,6.424824242E-4
1.646779125E0,-1.543259248E-3,-1.460155472E-4,-5.922850687E-4
1.747269125E0,1.960566267E-3,-7.023150101E-4,1.792446710E-5
1.847758125E0,3.870241344E-4,-1.029062551E-3,1.818967750E-3
1.948248125E0,-1.688149758E-3,-1.290256158E-3,9.527404327E-4
2.048738125E0,-1.471818425E-3,3.065485507E-4,5.066522863E-4
2.149228125E0,8.538039401E-4,2.610024996E-3,3.106433433E-4
2.249718125E0,2.352130599E-3,8.725281805E-4,3.658561036E-4
2.350208125E0,1.524718478E-3,5.861497484E-4,-1.344175427E-3
2.450698125E0,-2.909251489E-3,-1.553299371E-3,1.753177494E-4
2.551190917E0,1.724351197E-3,-6.356933154E-4,-1.391255064E-3
2.651680917E0,-7.854038849E-4,-8.682385087E-4,1.054504653E-3
2.752170917E0,-3.329878673E-4,1.087109558E-3,4.560605157E-4
2.852660917E0,7.962752134E-4,-1.010205597E-4,1.165153226E-3
2.953150917E0,-3.879591823E-4,2.024383284E-4,-1.179429237E-4
3.053639917E0,1.992559992E-3,2.816133201E-5,-2.060141182E-3
3.154129917E0,-1.432552934E-3,1.438893378E-7,5.978778936E-4
3.254619917E0,1.712488011E-4,-2.418603748E-3,-7.006060332E-5
3.355109917E0,-4.737451673E-5,-1.718903892E-3,-2.313366160E-3
3.455598917E0,2.224463969E-4,9.784377180E-4,-8.927199524E-4
3.556085917E0,3.755306825E-4,1.584099606E-3,3.306891304E-4
3.656575917E0,-2.658329904E-4,1.080077142E-3,-8.634931874E-4
3.757065917E0,-1.292960718E-3,-1.178787090E-3,-1.199036138E-3
3.857554917E0,1.695472747E-5,-1.715496182E-4,5.932413042E-4
3.958044917E0,2.097195014E-3,-4.747081548E-4,-4.725269973E-4
4.058534917E0,2.076915465E-3,2.137974836E-3,-5.628783256E-4
4.159023917E0,1.390771940E-4,6.350502372E-4,-2.278888132E-4
4.259513917E0,-2.801769413E-3,4.701120779E-4,1.254942967E-3
4.360003917E0,-1.043126918E-3,-7.720100693E-4,1.305479323E-3
4.460492917E0,5.333749577E-4,-1.085417811E-3,3.370626364E-4
4.560982625E0,-1.777950674E-4,1.445921604E-3,3.276497591E-4
4.661472625E0,-2.097535878E-3,-1.205167733E-3,8.720229380E-5
4.761961625E0,1.276495866E-3,5.470840260E-4,-2.510885242E-4
4.862451625E0,-1.038021408E-3,-1.934467815E-3,1.990520395E-4
4.962940625E0,1.642266288E-3,2.357459161E-3,1.156035112E-3
5.063430625E0,-1.179380342E-3,7.255529054E-4,1.047945581E-3
5.163920625E0,1.054070890E-5,-3.879447468E-4,-2.739718184E-4
5.264409625E0,2.515288070E-4,-3.376730252E-3,5.057549570E-4
5.364899625E0,-1.758226193E-3,-7.226895541E-4,-1.607778016E-3
5.465388625E0,-3.624489531E-3,1.249664463E-3,-4.038531333E-4
5.565878667E0,-7.869331166E-4,1.566242427E-3,-3.890080843E-4
5.666367667E0,-4.028212279E-4,1.899655908E-4,-8.418262005E-4
5.766857667E0,1.761026680E-3,1.698735170E-3,3.907505423E-3
5.867346667E0,6.725722924E-4,1.515659969E-3,-1.886241953E-3
5.967836667E0,-2.332566306E-3,5.915616639E-4,-3.774277866E-5
6.068325667E0,2.224193886E-4,1.209860202E-3,4.667090252E-6
6.168815667E0,1.060398296E-3,-2.366546541E-3,8.135824464E-5
6.269304667E0,2.874759957E-4,5.917153321E-4,1.993793994E-4
6.369794667E0,-5.785655230E-5,1.051216386E-3,1.606126083E-3
6.470283667E0,-1.466148533E-3,8.659800515E-4,1.475115074E-3
6.570776625E0,3.029236570E-3,2.866182476E-4,7.239356637E-5
6.671265625E0,-6.057797000E-4,4.523498937E-4,-3.378222929E-3
6.771755625E0,-2.647534944E-3,-2.335761208E-3,5.628045183E-4
6.872244625E0,-6.329324096E-4,-3.182236105E-5,1.732599922E-4
6.972734625E0,-8.509112522E-4,2.418345306E-3,-1.034271671E-3
