"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.457140000E-1,1.346139237E-3,1.284586266E-3,-1.337497728E-3
2.462060000E-1,1.746349968E-3,7.819659077E-4,6.537728477E-4
3.466990000E-1,-1.486639492E-3,6.084437482E-4,7.028556429E-4
4.471910000E-1,-1.599493437E-3,1.005616505E-3,-2.204366028E-4
5.476840000E-1,1.825295389E-3,-4.024412483E-4,-1.570009510E-3
6.481760000E-1,-4.037786275E-4,3.711162135E-4,-7.123383693E-5
7.486680000E-1,-3.031622618E-4,8.273962885E-4,-8.887688164E-4
8.491606250E-1,1.970285550E-3,3.073427361E-3,2.499937546E-4
9.496526250E-1,7.016379386E-4,-7.100049406E-4,-1.421056455E-3
1.050144625E0,-3.063706681E-4,-1.015858725E-4,6.473797839E-4
1.150637625E0,1.399964094E-5,2.671345137E-4,2.083632862E-3
1.251129625E0,-8.153021336E-4,-2.870480530E-4,1.037206501E-3
1.351621625E0,8.788798004E-5,-2.746040933E-3,-2.738297917E-4
1.452113625E0,2.222298644E-3,8.062538691E-4,-4.670962226E-4
1.552606625E0,-4.169046879E-4,-2.095001284E-3,-9.516968857E-4
1.653098625E0,-5.501229316E-4,-2.408600412E-4,1.497680554E-3
1.753590625E0,5.626557395E-4,-4.855230451E-3,-1.098434674E-3
1.854083917E0,1.239817590E-3,-1.158111729E-3,-5.537809338E-4
1.954575917E0,-1.299805939E-3,-1.552268397E-3,2.559436951E-3
2.055067917E0,-2.023509704E-3,-1.329155639E-3,4.668931942E-4
2.155559917E0,1.446912065E-4,4.037930630E-4,6.268825382E-4
2.256051917E0,-3.451630473E-4,8.859098889E-4,-1.037819777E-3
2.356544917E0,2.772252075E-3,-1.045925077E-3,3.425700124E-4
2.457036917E0,-4.596915096E-4,2.033254132E-4,4.185333382E-4
2.557528917E0,-1.907618716E-4,8.750492707E-4,5.531557836E-4
2.658020917E0,-1.525660977E-3,-8.246628568E-4,4.800106399E-4
2.758513542E0,1.370740123E-3,5.552284420E-4,-1.087383367E-3
2.859006542E0,1.605877653E-3,-1.679140143E-3,-1.065005315E-3
2.959498542E0,1.085875556E-4,3.082323819E-4,-6.701941602E-4
3.059990542E0,5.762139335E-4,1.994995400E-3,4.587834701E-5
3.160482542E0,-1.350576989E-3,1.443528105E-3,3.764615394E-5
3.260974542E0,-2.585910261E-4,-9.401701391E-4,-1.345391152E-3
3.361466542E0,-6.686672568E-4,1.013312954E-3,-4.217459355E-4
3.461958542E0,9.303176776E-4,-1.036962494E-3,1.482476946E-3
3.562451542E0,9.429790080E-4,1.230475493E-3,1.350696664E-3
3.662943542E0,-4.120953381E-4,-5.837329663E-4,-1.784435008E-4
3.763435125E0,-7.282756269E-4,1.746144146E-3,-4.168832675E-4
3.863927125E0,1.530716196E-3,8.215610869E-4,2.662546933E-3
3.964419125E0,-2.379957587E-4,-1.127409749E-3,-2.151660156E-3
4.064911125E0,-4.117200151E-4,6.633908488E-4,1.735613914E-3
4.165403125E0,-1.740647480E-3,-6.923512556E-4,-1.277963864E-3
4.265895125E0,-1.793311909E-3,-1.109671313E-3,1.402320340E-3
4.366387125E0,-2.941396087E-5,-1.407521777E-4,-1.165678725E-3
4.466879125E0,-1.533897594E-4,1.805339009E-3,-2.689252142E-4
4.567371125E0,4.386268556E-4,3.800934646E-3,-1.333533786E-3
4.667863125E0,-4.944503307E-4,-9.572268464E-4,5.065340083E-4
4.768354667E0,1.969883218E-3,1.449247822E-3,7.528048009E-4
4.868846667E0,-7.893834263E-4,2.905980684E-3,1.285166945E-4
4.969338667E0,9.771911427E-4,1.203422435E-3,-2.309184056E-4
5.069830667E0,4.126178101E-4,1.915931702E-3,6.161872298E-4
5.170322667E0,-1.046690159E-3,-9.090621024E-4,-6.290907040E-4
5.270814667E0,-2.593202516E-4,-5.631712265E-4,9.400048293E-4
5.371306667E0,1.700831577E-3,5.523562431E-4,-8.112704381E-5
5.471798667E0,2.769638784E-3,1.070778817E-4,-5.253548734E-4
5.572290667E0,-6.234943867E-4,7.859407924E-4,-9.804761503E-4
5.672782667E0,2.845011652E-3,5.495739169E-4,-2.504950389E-4
5.773274625E0,1.048424281E-3,-2.233644016E-3,-9.187567048E-5
5.873766625E0,4.650233313E-4,8.865026757E-4,2.439683303E-4
5.974258625E0,-2.423726954E-3,-3.668959253E-4,-7.996500935E-4
6.074749625E0,6.304476410E-4,-9.703170508E-5,-1.285158098E-3
6.175241625E0,1.754610799E-3,-1.251575071E-3,3.405481810E-3
6.275733625E0,8.069816977E-4,-1.513623632E-3,8.817086928E-4
6.376225625E0,-1.671053469E-4,-9.194482118E-4,1.795795280E-3
6.476717625E0,-2.052368596E-3,-1.912134700E-3,-2.235877793E-3
6.577209625E0,1.371004619E-3,-1.269226894E-3,-1.863182988E-4
6.677701625E0,1.771555282E-3,4.622619599E-4,1.465748064E-3
6.778192125E0,-1.103106886E-3,-1.065446995E-4,1.377850538E-3
6.878684125E0,5.066050217E-4,-1.096110791E-3,5.048783496E-4
6.979176125E0,1.654879190E-3,1.682997681E-3,-3.534927964E-4
7.079668125E0,-9.393319488E-5,2.363749780E-3,9.546219371E-5
7.180160125E0,3.728717566E-4,1.256622840E-3,3.210515715E-4
7.280652125E0,-1.221002080E-3,-1.860908233E-3,-2.204279415E-3
7.381143125E0,3.746980801E-3,-6.685857661E-4,3.078607842E-4
7.481635125E0,2.952001989E-3,-3.497721627E-4,-1.365193166E-4
7.582127125E0,-1.489168964E-3,1.828034874E-3,5.076264497E-4
7.682619125E0,-1.581329852E-3,4.419200122E-3,-2.335919999E-4
7.783112125E0,1.539850608E-3,-3.778561950E-5,1.550661400E-3
7.883603125E0,1.607841812E-3,-1.569841057E-3,-4.817615263E-4
7.984095125E0,-7.462920621E-4,-2.931570634E-4,-5.955197848E-4
8.084587125E0,6.694262847E-4,-9.069745429E-4,5.119764246E-4
8.185079125E0,-2.681371756E-3,7.880060002E-5,1.429552911E-3
8.285570125E0,-2.342204563E-3,-3.873105161E-4,-1.117231790E-3
8.386062125E0,-8.100653067E-4,-3.440077417E-4,2.322413260E-3
8.486554125E0,1.672038808E-3,-2.019014210E-4,-1.526510692E-3
8.587045125E0,-6.347456947E-4,2.759267110E-3,-1.465517213E-3
8.687537125E0,3.617936745E-4,-2.153388690E-3,-1.347276615E-3
8.788028792E0,-1.496160403E-4,-2.926136833E-3,1.529969741E-4
