"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.421031375E0,-2.065238953E1,-4.304170609E1,3.533428192E0
9.521521375E0,-2.064231491E1,-4.316803741E1,3.360574245E0
9.622012375E0,-2.045890427E1,-4.323908234E1,3.463149071E0
9.722502375E0,-2.055848503E1,-4.309942627E1,3.218856335E0
9.822993000E0,-2.052663612E1,-4.323582840E1,3.344476223E0
9.923483000E0,-2.059034348E1,-4.289266968E1,3.317916393E0
1.002397300E1,-2.062338257E1,-4.304694366E1,3.490647793E0
1.012446400E1,-2.049287987E1,-4.313381195E1,3.252428532E0
1.022495400E1,-2.054691505E1,-4.308050537E1,3.368571281E0
1.032544400E1,-2.043420982E1,-4.332587433E1,3.439306736E0
1.042593500E1,-2.044451523E1,-4.315763855E1,3.429526329E0
1.052642500E1,-2.051051331E1,-4.312451553E1,3.412839890E0
1.062691500E1,-2.059367752E1,-4.305627060E1,3.376387596E0
1.072740500E1,-2.049842834E1,-4.308924484E1,3.496146679E0
1.082789521E1,-2.049979210E1,-4.305341339E1,3.553256989E0
1.092838621E1,-2.053156662E1,-4.303846359E1,3.286270618E0
1.102887621E1,-2.053755188E1,-4.318066788E1,3.426529408E0
1.112936621E1,-2.054906082E1,-4.310029984E1,3.219367504E0
1.122985621E1,-2.054189682E1,-4.326371002E1,3.069689274E0
1.133034621E1,-2.053336906E1,-4.311952209E1,3.207837582E0
1.143083621E1,-2.046327591E1,-4.312668610E1,3.414742947E0
1.153132621E1,-2.051004410E1,-4.315429688E1,3.433401108E0
1.163181621E1,-2.051022720E1,-4.310894394E1,3.329764366E0
1.173230621E1,-2.048463821E1,-4.318255234E1,3.339763641E0
1.183279633E1,-2.052223969E1,-4.307619095E1,3.441479206E0
1.193328633E1,-2.040027618E1,-4.315304565E1,3.684941769E0
1.203377633E1,-2.045192909E1,-4.330357742E1,3.340336800E0
1.213426633E1,-2.048576736E1,-4.305827332E1,3.426170826E0
1.223475633E1,-2.043778038E1,-4.297510910E1,3.284101963E0
1.233524633E1,-2.056328011E1,-4.300182343E1,3.284472942E0
1.243573633E1,-2.045275307E1,-4.336877823E1,3.567116261E0
1.253622633E1,-2.059298515E1,-4.330976486E1,3.162137508E0
1.263671633E1,-2.048481178E1,-4.324691010E1,3.548808575E0
1.273720633E1,-2.046315956E1,-4.332097626E1,3.530934334E0
