"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.272175167E0,-1.846759033E1,9.275493622E-1,-4.391795349E1
9.372673167E0,-1.841282272E1,6.058621407E-1,-4.331037903E1
9.473170167E0,-1.823879623E1,4.140233994E-1,-4.269133759E1
9.573668250E0,-1.846042061E1,9.129590988E-1,-4.409757996E1
9.674166250E0,-1.840254593E1,9.151344299E-1,-4.412926483E1
9.774664250E0,-1.840163803E1,9.721183777E-1,-4.417135620E1
9.875162250E0,-1.839032173E1,9.292001724E-1,-4.393134308E1
9.975660250E0,-1.833665657E1,7.455153465E-1,-4.401908112E1
1.007615825E1,-1.841224289E1,9.101738930E-1,-4.399542236E1
1.017665725E1,-1.842610359E1,1.010109901E0,-4.413645935E1
1.027715525E1,-1.844108391E1,9.967947006E-1,-4.398344421E1
1.037765425E1,-1.822625923E1,8.035383224E-1,-4.306797791E1
1.047815325E1,-1.841801834E1,8.299765587E-1,-4.370196533E1
1.057864942E1,-1.844817734E1,7.937951088E-1,-4.411782837E1
1.067914842E1,-1.846671867E1,7.718181610E-1,-4.419714355E1
1.077964842E1,-1.846281433E1,8.288049698E-1,-4.422637939E1
1.088014742E1,-1.848834038E1,8.240289688E-1,-4.443376923E1
1.098064742E1,-1.852106094E1,8.463883400E-1,-4.453773499E1
1.108114742E1,-1.845678329E1,9.037947655E-1,-4.445117950E1
1.118164742E1,-1.862394905E1,1.050878048E0,-4.438674927E1
1.128214742E1,-1.859405136E1,1.234534264E0,-4.433413696E1
1.138264742E1,-1.863564301E1,1.181729794E0,-4.516825104E1
1.148314842E1,-1.870129013E1,1.217997551E0,-4.513105774E1
1.158364725E1,-1.856799316E1,1.322986603E0,-4.533212280E1
1.168414825E1,-1.861300850E1,1.259829044E0,-4.518823242E1
1.178464825E1,-1.873210335E1,1.241401672E0,-4.512171173E1
1.188514925E1,-1.867701340E1,1.186032772E0,-4.516794586E1
1.198565025E1,-1.858660126E1,1.161113739E0,-4.515002441E1
1.208615025E1,-1.857434273E1,8.626704216E-1,-4.506756592E1
1.218665125E1,-1.850539780E1,6.702475548E-1,-4.546122742E1
1.228715225E1,-1.854229927E1,1.845501900E0,-4.673863220E1
1.238765325E1,-1.825340652E1,1.471437454E0,-4.591786194E1
1.248815425E1,-1.818300629E1,1.673111916E0,-4.577336884E1
1.258865550E1,-1.810623550E1,1.834500313E0,-4.567348480E1
1.268915650E1,-1.804476929E1,1.477458954E0,-4.538449860E1
1.278965750E1,-1.803780556E1,1.273601532E0,-4.525658417E1
1.289015850E1,-1.815257072E1,1.278172016E0,-4.495822144E1
1.299065950E1,-1.805101013E1,1.185953140E0,-4.480798340E1
1.309116050E1,-1.819698334E1,1.159091949E0,-4.463031769E1
1.319166150E1,-1.818061829E1,1.074278355E0,-4.489819336E1
1.329216250E1,-1.825814056E1,1.165701866E0,-4.469037628E1
1.339266350E1,-1.808142853E1,9.439868927E-1,-4.382539368E1
1.349316450E1,-1.820336723E1,1.257277489E0,-4.433440399E1
1.359366925E1,-1.831152725E1,1.460186005E0,-4.406133270E1
1.369417125E1,-1.853997421E1,1.419569016E0,-4.397176361E1
1.379467225E1,-1.847440147E1,1.312346458E0,-4.398463440E1
1.389517325E1,-1.812310028E1,1.269470692E0,-4.411901093E1
1.399567425E1,-1.809887886E1,9.302411079E-1,-4.398886108E1
1.409617525E1,-1.727760696E1,7.317352295E-2,-4.448678589E1
1.419667725E1,-1.677227020E1,-6.952414513E-1,-4.443479156E1
1.429717825E1,-1.738463211E1,-8.166151047E-1,-4.306114960E1
1.439767925E1,-1.714799118E1,-1.076698780E0,-4.349913788E1
1.449818025E1,-1.704957199E1,-1.164447308E0,-4.341200256E1
1.459867854E1,-1.729705238E1,-8.951220512E-1,-4.337430573E1
1.469917954E1,-1.745899010E1,-4.327354431E-1,-4.352112579E1
1.479968054E1,-1.784722900E1,-2.215414047E-1,-4.320444489E1
1.490018254E1,-1.755176163E1,-3.745951653E-1,-4.389414215E1
1.500068354E1,-1.706902122E1,-5.714497566E-1,-4.427362823E1
1.510118554E1,-1.727247810E1,-6.404118538E-1,-4.366273499E1
1.520168654E1,-1.676677322E1,-9.920406342E-1,-4.458692169E1
1.530218754E1,-1.701489639E1,-7.066488266E-1,-4.390181732E1
1.540268954E1,-1.724471092E1,-8.539271355E-1,-4.366694641E1
1.550319054E1,-1.590771866E1,-1.864243031E0,-4.541456604E1
1.560369638E1,-1.542566586E1,-1.508240223E0,-4.677908325E1
1.570419738E1,-1.599076748E1,-1.286618710E0,-4.544624329E1
1.580469938E1,-1.631843758E1,-1.001179695E0,-4.512034607E1
1.590520038E1,-1.636765671E1,-1.295035839E0,-4.432689667E1
1.600570237E1,-1.539500332E1,-1.672990322E0,-4.656735229E1
1.610620438E1,-1.566684914E1,-1.889643192E0,-4.560490417E1
1.620670537E1,-1.623086929E1,-1.781244755E0,-4.413613892E1
1.630720738E1,-1.584617138E1,-1.928849697E0,-4.508798981E1
1.640770838E1,-1.549517441E1,-2.199673176E0,-4.554540253E1
1.650821038E1,-1.488978958E1,-3.214296818E0,-4.587734985E1
1.660870817E1,-1.436144066E1,-2.959217548E0,-4.713451385E1
1.670920917E1,-1.489700222E1,-3.437779903E0,-4.521269226E1
1.680971117E1,-1.488453674E1,-3.368153095E0,-4.547463226E1
1.691021317E1,-1.488804054E1,-3.163045406E0,-4.566865540E1
1.701071417E1,-1.511359215E1,-2.979915142E0,-4.525342560E1
1.711121617E1,-1.503223610E1,-3.183386326E0,-4.518903351E1
1.721171817E1,-1.492622566E1,-3.203901768E0,-4.544906616E1
1.731222017E1,-1.503641129E1,-3.150251865E0,-4.498532104E1
1.741272217E1,-1.509784889E1,-3.135433674E0,-4.482542419E1
1.751322317E1,-1.487730026E1,-3.277336597E0,-4.506910706E1
1.761372550E1,-1.513263416E1,-3.158445835E0,-4.494284058E1
1.771422750E1,-1.558732414E1,-2.583343029E0,-4.482839966E1
1.781472950E1,-1.630378723E1,-1.699369907E0,-4.433975220E1
1.791523150E1,-1.681745911E1,-8.755288124E-1,-4.410709381E1
1.801573350E1,-1.716205215E1,-2.167611122E-1,-4.436909485E1
1.811623450E1,-1.753105164E1,9.263944626E-2,-4.380571747E1
1.821673650E1,-1.761788177E1,8.456516266E-2,-4.374845123E1
