"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.049317932E-1,9.800569611E0,1.203497314E-1
1.004920000E-1,1.100212097E-1,9.820328522E0,1.155596924E-1
2.009840000E-1,9.924362183E-2,9.812095642E0,9.565109253E-2
3.014750000E-1,1.127156067E-1,9.815538483E0,1.106199646E-1
4.019670000E-1,1.199006653E-1,9.823921051E0,1.026864624E-1
5.024590000E-1,1.231938171E-1,9.836195526E0,9.984237671E-2
6.029500000E-1,1.155596924E-1,9.816137238E0,1.008901978E-1
7.034420000E-1,1.142124939E-1,9.813592529E0,1.167572021E-1
8.039330000E-1,1.158590698E-1,9.813143463E0,1.107696533E-1
9.044250000E-1,1.044827271E-1,9.800120544E0,1.053808594E-1
1.004916000E0,1.050814819E-1,9.802814941E0,1.136137390E-1
1.105408000E0,1.095721436E-1,9.797875214E0,1.203497314E-1
1.205900000E0,1.146615601E-1,9.804162140E0,9.385482788E-2
1.306391000E0,1.077758789E-1,9.807006226E0,1.055305481E-1
1.406883000E0,1.103205872E-1,9.804311829E0,1.170565796E-1
1.507374000E0,1.122665405E-1,9.825268250E0,9.804611206E-2
1.607866000E0,1.130149841E-1,9.826016693E0,9.340576172E-2
1.708357000E0,1.095721436E-1,9.811796265E0,1.109193420E-1
1.808852500E0,1.089733887E-1,9.813442841E0,1.193019104E-1
1.909343500E0,1.043330383E-1,9.810898132E0,8.322692871E-2
2.009835500E0,1.068777466E-1,9.806407471E0,1.196012878E-1
2.110327500E0,1.073268127E-1,9.809850311E0,1.154100037E-1
2.210818500E0,1.182540894E-1,9.809850311E0,7.619155884E-2
2.311310500E0,1.215472412E-1,9.816286926E0,9.879455566E-2
2.411801500E0,1.169068909E-1,9.814939728E0,1.152603149E-1
2.512293500E0,1.106199646E-1,9.814790039E0,9.385482788E-2
2.612784500E0,1.074765015E-1,9.796827393E0,1.163081360E-1
2.713276500E0,1.068777466E-1,9.814191284E0,1.210981750E-1
2.813763875E0,1.125659180E-1,9.816436615E0,1.080752563E-1
2.914254875E0,1.013392639E-1,9.812694397E0,1.125659180E-1
3.014746875E0,1.182540894E-1,9.814640350E0,1.125659180E-1
3.115237875E0,1.193019104E-1,9.818831635E0,1.073268127E-1
3.215729875E0,1.166075134E-1,9.819430389E0,9.954299927E-2
3.316220875E0,1.146615601E-1,9.813891907E0,1.149609375E-1
3.416712875E0,1.095721436E-1,9.814490662E0,1.106199646E-1
3.517203875E0,1.004411316E-1,9.813293152E0,1.115180969E-1
3.617694875E0,1.050814819E-1,9.815089417E0,1.173559570E-1
3.718186875E0,1.115180969E-1,9.822124786E0,1.209484863E-1
3.818677875E0,1.134640503E-1,9.812395020E0,8.771759033E-2
3.919169875E0,1.125659180E-1,9.807155914E0,1.056802368E-1
4.019660875E0,1.206491089E-1,9.810149689E0,1.258882141E-1
4.120151875E0,1.209484863E-1,9.818981323E0,9.325607300E-2
4.220643875E0,1.252894592E-1,9.825417938E0,1.010398865E-1
4.321134875E0,1.089733887E-1,9.815239105E0,1.044827271E-1
4.421625875E0,1.068777466E-1,9.791887665E0,1.188528442E-1
4.522117875E0,1.079255676E-1,9.810299377E0,1.074765015E-1
4.622608875E0,1.058299255E-1,9.825417938E0,1.077758789E-1
4.723099875E0,1.137634277E-1,9.815089417E0,1.181044006E-1
4.823591750E0,1.190025330E-1,9.815987549E0,1.019380188E-1
4.924082750E0,1.233435059E-1,9.819879456E0,9.265731812E-2
5.024573750E0,1.182540894E-1,9.823621674E0,1.125659180E-1
5.125065750E0,1.106199646E-1,9.807305603E0,1.097218323E-1
5.225556750E0,1.047821045E-1,9.810449066E0,1.032852173E-1
