"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-3.248245239E-2,1.743873596E-1,9.797426147E0
1.004860000E-1,-4.311035156E-2,1.754351807E-1,9.798324280E0
2.009730000E-1,-3.547622681E-2,1.812730408E-1,9.795180817E0
3.014590000E-1,-3.367996216E-2,1.809736633E-1,9.812245331E0
4.019450000E-1,-3.068618774E-2,1.679507446E-1,9.801018677E0
5.024310000E-1,-3.876937866E-2,1.916015625E-1,9.802216187E0
6.029165000E-1,-3.218307495E-2,1.706451416E-1,9.802365875E0
7.034025000E-1,-3.996688843E-2,1.709445190E-1,9.790390778E0
8.038885000E-1,-4.011657715E-2,1.667532349E-1,9.799821167E0
9.043745000E-1,-3.906875610E-2,1.845661926E-1,9.803862762E0
1.004860500E0,-4.385879517E-2,1.689985657E-1,9.805808716E0
1.105347500E0,-4.011657715E-2,1.691482544E-1,9.798773346E0
1.205833500E0,-2.933898926E-2,1.904040527E-1,9.796228638E0
1.306319500E0,-3.712280273E-2,1.725910950E-1,9.805659027E0
1.406805500E0,-4.520599365E-2,1.706451416E-1,9.806407471E0
1.507291500E0,-3.921844482E-2,1.767823792E-1,9.808652802E0
1.607777250E0,-3.712280273E-2,1.703457642E-1,9.800419922E0
1.708263250E0,-3.487747192E-2,1.709445190E-1,9.820029144E0
1.808749250E0,-3.757186890E-2,1.766326904E-1,9.811047821E0
1.909236250E0,-3.652404785E-2,1.657054138E-1,9.801318054E0
2.009722250E0,-4.056564331E-2,1.672023010E-1,9.798473969E0
2.110208250E0,-3.847000122E-2,1.805245972E-1,9.791438599E0
2.210694250E0,-3.158432007E-2,1.814227295E-1,9.793534241E0
2.311180250E0,-3.682342529E-2,1.701960754E-1,9.797276459E0
2.411666250E0,-4.071533203E-2,1.793270874E-1,9.789492645E0
2.512152250E0,-4.550537109E-2,1.779798889E-1,9.805209961E0
2.612638250E0,-4.161346436E-2,1.731898499E-1,9.797725525E0
2.713125250E0,-3.562591553E-2,1.733395386E-1,9.793833618E0
2.813611250E0,-3.457809448E-2,1.719923401E-1,9.800419922E0
2.914097250E0,-3.951782227E-2,1.764830017E-1,9.803413696E0
3.014583250E0,-4.730163574E-2,1.715432739E-1,9.806108093E0
3.115069250E0,-4.340972900E-2,1.809736633E-1,9.804611206E0
3.215555250E0,-3.382965088E-2,1.766326904E-1,9.801018677E0
3.316041250E0,-3.921844482E-2,1.803749084E-1,9.794881439E0
3.416527250E0,-3.128494263E-2,1.821711731E-1,9.784403229E0
3.517014250E0,-4.296066284E-2,1.784289551E-1,9.788295135E0
3.617500125E0,-2.739303589E-2,1.669029236E-1,9.807155914E0
3.717986125E0,-3.472778320E-2,1.806742859E-1,9.799372101E0
3.818472125E0,-4.939727783E-2,1.758842468E-1,9.817933502E0
3.918958125E0,-3.757186890E-2,1.725910950E-1,9.810898132E0
4.019444125E0,-3.293151855E-2,1.695973206E-1,9.801767120E0
4.119930125E0,-4.311035156E-2,1.688488770E-1,9.798174591E0
4.220416125E0,-3.832031250E-2,1.661544800E-1,9.800419922E0
4.320902125E0,-3.233276367E-2,1.752854919E-1,9.796228638E0
4.421388125E0,-3.817062378E-2,1.782792664E-1,9.796228638E0
4.521874125E0,-2.948867798E-2,1.749861145E-1,9.810449066E0
4.622360417E0,-3.921844482E-2,1.736389160E-1,9.798623657E0
4.722846417E0,-2.799179077E-2,1.800755310E-1,9.823322296E0
4.823332417E0,-3.876937866E-2,1.700463867E-1,9.807904358E0
4.923818417E0,-3.143463135E-2,1.694476318E-1,9.812844086E0
5.024304417E0,-3.787124634E-2,1.664538574E-1,9.820328522E0
5.124790417E0,-3.203338623E-2,1.829196167E-1,9.795929260E0
5.225276417E0,-3.906875610E-2,1.564247131E-1,9.790540466E0
5.325762417E0,-4.400848389E-2,1.583706665E-1,9.802665253E0
5.426248417E0,-3.353027344E-2,1.785786438E-1,9.808952179E0
5.526733417E0,-4.086502075E-2,1.769320679E-1,9.808203735E0
5.627219000E0,-3.712280273E-2,1.749861145E-1,9.816885681E0
5.727705000E0,-4.430786133E-2,1.730401611E-1,9.810149689E0
5.828191000E0,-2.754272461E-2,1.703457642E-1,9.783355408E0
5.928677000E0,-3.577560425E-2,1.808239746E-1,9.804461517E0
6.029163000E0,-3.847000122E-2,1.782792664E-1,9.802964630E0
6.129648000E0,-2.874023438E-2,1.716929626E-1,9.798473969E0
6.230134000E0,-3.652404785E-2,1.691482544E-1,9.815987549E0
6.330620000E0,-5.134323120E-2,1.667532349E-1,9.803413696E0
6.431106000E0,-3.697311401E-2,1.794767761E-1,9.808353424E0
6.531592000E0,-3.861968994E-2,1.688488770E-1,9.805958405E0
6.632078042E0,-4.655319214E-2,1.802252197E-1,9.800120544E0
6.732564042E0,-3.502716064E-2,1.749861145E-1,9.826016693E0
6.833050042E0,-3.502716064E-2,1.733395386E-1,9.808503113E0
6.933535042E0,-4.206253052E-2,1.688488770E-1,9.801467743E0
7.034021042E0,-4.535568237E-2,1.718426514E-1,9.793234863E0
7.134507042E0,-3.338058472E-2,1.706451416E-1,9.808503113E0
7.234993042E0,-4.026626587E-2,1.755848694E-1,9.804910583E0
7.335478042E0,-3.248245239E-2,1.724414062E-1,9.817185059E0
7.435964042E0,-3.817062378E-2,1.694476318E-1,9.787546692E0
7.536449042E0,-2.784210205E-2,1.824705505E-1,9.818083191E0
7.636934000E0,-4.101470947E-2,1.739382935E-1,9.813891907E0
7.737420000E0,-4.026626587E-2,1.692979431E-1,9.810748444E0
7.837905000E0,-3.083587646E-2,1.731898499E-1,9.798174591E0
7.938391000E0,-3.008743286E-2,1.847158813E-1,9.790241089E0
8.038877000E0,-4.221221924E-2,1.534309387E-1,9.801617432E0
8.139362000E0,-4.355941772E-2,1.675016785E-1,9.791737976E0
8.239848000E0,-3.712280273E-2,1.787283325E-1,9.823471985E0
8.340333000E0,-4.221221924E-2,1.633103943E-1,9.812694397E0
8.440819000E0,-4.086502075E-2,1.698966980E-1,9.810000000E0
8.541304000E0,-3.637435913E-2,1.893562317E-1,9.790690155E0
8.641790292E0,-3.173400879E-2,1.621128845E-1,9.821975098E0
8.742275292E0,-4.894821167E-2,1.862127686E-1,9.806407471E0
8.842761292E0,-3.817062378E-2,1.670526123E-1,9.794731750E0
8.943246292E0,-4.146377563E-2,1.817221069E-1,9.799671478E0
9.043732292E0,-3.772155762E-2,1.595681763E-1,9.796528015E0
9.144217292E0,-4.760101318E-2,1.814227295E-1,9.829160156E0
9.244703292E0,-3.742218018E-2,1.721420288E-1,9.802365875E0
9.345188292E0,-3.323089600E-2,1.540296936E-1,9.788893890E0
9.445674292E0,-4.146377563E-2,1.531315613E-1,9.773026886E0
9.546159292E0,-3.682342529E-2,1.661544800E-1,9.796677704E0
9.646644625E0,-3.682342529E-2,1.465452576E-1,9.784403229E0
9.747130625E0,-4.445755005E-2,1.742376709E-1,9.820777588E0
9.847615625E0,-4.340972900E-2,1.709445190E-1,9.841734009E0
9.948101625E0,-3.233276367E-2,1.752854919E-1,9.743987274E0
1.004858662E1,-3.023712158E-2,1.585203552E-1,9.789043579E0
1.014907162E1,-5.089416504E-2,1.648072815E-1,9.815837860E0
1.024955762E1,-2.933898926E-2,1.633103943E-1,9.769883423E0
1.035004262E1,-6.017486572E-2,1.570234680E-1,9.855505371E0
1.045052862E1,-3.158432007E-2,1.763333130E-1,9.804760895E0
1.055101362E1,-3.263214111E-2,1.697470093E-1,9.806856537E0
1.065149800E1,-4.430786133E-2,1.667532349E-1,9.824968872E0
1.075198400E1,-2.963836670E-2,1.911524963E-1,9.817035370E0
