"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.154299999E-2,8.129095659E-4,-2.067425288E-3,-1.809831592E-3
1.620199167E-1,-1.769795083E-3,9.125322104E-4,6.689613219E-4
2.624979167E-1,-6.737131625E-4,1.004066318E-3,-1.487471163E-4
3.629759167E-1,1.287469640E-4,8.225808851E-4,1.132604899E-3
4.634539167E-1,-8.339257911E-4,-6.637391634E-4,1.177773811E-4
5.639319167E-1,8.369330317E-4,-1.065624412E-3,9.753701743E-4
6.644099167E-1,-5.787564442E-4,-1.311684493E-3,-1.944446471E-3
7.648879167E-1,-1.238989644E-3,-5.414918996E-4,-1.457854873E-3
8.653659167E-1,-1.186521724E-3,-6.702626124E-4,-1.800597529E-3
9.658439167E-1,-2.615577541E-3,7.913969457E-4,1.806099433E-3
1.066322917E0,-8.205715567E-4,6.284536794E-4,1.338689122E-3
1.166797792E0,-1.450967044E-3,-2.882909030E-4,-1.298274496E-3
1.267275792E0,-1.064993441E-3,1.968261786E-4,6.477066781E-4
1.367753792E0,1.099964604E-3,-2.188421786E-4,-1.436566235E-3
1.468231792E0,-2.765434794E-3,1.871942542E-3,4.035893362E-4
1.568710792E0,5.522901192E-4,-4.125153646E-5,2.014480997E-4
1.669188792E0,-4.791347310E-4,8.283983916E-4,1.415947918E-4
1.769666792E0,1.023796387E-3,-2.073993906E-3,-7.455353625E-5
1.870144792E0,-1.089796424E-3,1.885398757E-3,1.139826374E-3
1.970623792E0,7.159207016E-4,-1.439076848E-3,1.028543804E-3
2.071101792E0,-7.426366210E-4,1.753308810E-3,7.794448175E-5
2.171580167E0,-2.152606845E-3,-1.011512242E-3,4.369835369E-4
2.272059167E0,-1.239325851E-3,1.114080660E-4,1.798341982E-4
2.372537167E0,-1.520952210E-3,2.600627951E-3,1.083910465E-4
2.473016167E0,5.179354921E-4,-1.170688309E-3,6.179218180E-4
2.573494167E0,-6.059333682E-4,-5.843858235E-4,-3.567896783E-5
2.673972167E0,-1.261397265E-3,1.100492664E-4,-5.751422141E-4
2.774451167E0,1.292609610E-3,2.489648759E-4,-1.074042520E-3
2.874929167E0,-3.569365479E-3,7.354933769E-5,-1.341431052E-3
2.975408167E0,1.651658677E-3,1.229399350E-3,1.093416708E-3
3.075886167E0,3.304335289E-3,2.283817157E-4,8.145531174E-4
3.176364375E0,-1.066442579E-3,7.500220090E-4,2.185539342E-4
3.276842375E0,-1.106296666E-3,2.886488568E-3,1.457359176E-4
3.377321375E0,9.480947629E-4,1.000334509E-3,2.447587904E-4
3.477799375E0,1.160008833E-3,3.009853885E-3,1.000291901E-3
3.578278375E0,1.680727117E-3,-4.933159798E-4,2.603707835E-3
3.678757375E0,3.515249118E-4,1.491059083E-3,1.478190534E-3
3.779235375E0,-3.305822611E-5,-1.788881142E-3,6.094705313E-4
3.879714375E0,-7.597701624E-4,-5.630394444E-4,6.049219519E-4
3.980193375E0,-1.228228211E-5,1.966515556E-4,-4.607832525E-4
4.080671375E0,-7.975231856E-4,-2.674496267E-3,9.295542259E-4
4.181150500E0,8.783079684E-4,1.639113761E-4,-3.317091614E-4
4.281629500E0,8.604200557E-4,-4.156627692E-4,5.409407895E-4
4.382107500E0,-3.093201667E-4,2.642753534E-4,-1.427393872E-4
4.482586500E0,4.454199225E-4,3.570904955E-4,5.397882778E-4
4.583065500E0,1.335153356E-4,1.408678014E-3,3.721839748E-4
4.683543500E0,2.636937425E-4,-2.085762098E-4,-3.421726171E-3
4.784022500E0,2.789329737E-4,-6.079440936E-4,1.783396583E-4
4.884501500E0,2.340485342E-3,-1.474050805E-5,-3.200858831E-3
4.984980500E0,7.582660764E-4,-6.144866347E-6,-2.003068570E-3
5.085459500E0,-1.786729321E-3,-6.002774462E-4,3.153216792E-3
5.185941292E0,1.364837401E-3,-1.920054201E-3,4.615962971E-4
5.286420292E0,-2.663875930E-3,1.331894659E-3,-5.028217565E-4
5.386899292E0,1.199916005E-5,2.795970067E-5,2.442861442E-4
5.487378292E0,-2.500410192E-3,-2.586119808E-4,-9.127543308E-5
5.587857292E0,-1.374956220E-3,-4.255217500E-4,-8.130756905E-4
5.688336292E0,-1.102968119E-3,2.031312790E-3,-5.817790516E-4
5.788815292E0,-8.535189554E-4,-9.923917241E-4,6.602688227E-4
5.889294292E0,3.123115748E-4,-1.962813549E-4,-1.988945529E-3
5.989772292E0,-2.067273483E-3,1.229844056E-3,-1.582211698E-3
6.090251292E0,-9.756013751E-4,1.512113493E-3,1.150457654E-3
6.190727042E0,1.469885930E-3,-4.891920835E-4,-1.407153090E-3
6.291206042E0,-1.263001002E-3,3.952481784E-4,6.007882766E-4
6.391685042E0,-2.428324893E-3,1.924634911E-3,-3.043887205E-3
6.492164042E0,-1.169574447E-3,6.421548314E-4,4.604631104E-4
6.592643042E0,1.008786261E-3,1.536654308E-4,2.715319861E-4
6.693122042E0,-2.031198703E-3,-2.216035500E-4,3.161947243E-4
6.793601042E0,-5.459031090E-4,-7.855286822E-4,-2.590955701E-4
6.894080042E0,2.709101886E-3,-1.852691174E-3,1.635546796E-4
6.994559042E0,-3.287382424E-5,4.239636473E-4,-2.076392993E-4
7.095038042E0,-7.228264585E-4,1.535967458E-3,-1.490451512E-3
7.195516500E0,4.036631435E-4,-1.875283662E-3,9.963335469E-4
7.295996500E0,-2.814354375E-4,1.485091634E-3,1.424798509E-3
7.396475500E0,-1.346166246E-3,-5.392306484E-4,7.883254439E-4
7.496954500E0,4.207362421E-3,5.101216957E-4,5.578279961E-4
7.597433500E0,3.423746675E-4,4.022447392E-4,1.859016018E-3
7.697912500E0,-1.049796119E-3,9.733391926E-4,4.698545672E-4
7.798391500E0,-5.979221314E-4,-8.929506876E-4,7.473018486E-4
7.898870500E0,1.409098506E-3,-1.997890882E-3,-1.160271931E-4
7.999349500E0,-1.360084862E-3,-5.458947271E-6,7.075346075E-4
8.099829500E0,-1.616633497E-3,-1.666573808E-3,-7.267582696E-4
8.200308500E0,5.270503461E-4,1.410000492E-3,9.520947933E-4
8.300787500E0,-4.852106795E-4,7.262411527E-4,5.093640648E-4
8.401270750E0,-1.059251837E-3,1.068441663E-3,-1.413782593E-4
8.501749750E0,1.042599790E-3,2.924236469E-4,1.044166274E-4
8.602229750E0,-1.613090746E-3,-7.663471624E-4,-8.426199201E-4
8.702708750E0,-1.732144505E-3,-3.688036697E-3,-6.124824286E-4
8.803187750E0,-2.370233648E-3,1.610326581E-4,-1.759448787E-3
8.903666750E0,3.757574596E-3,-1.902560703E-3,6.789150648E-4
9.004146750E0,-3.617573529E-4,1.576910727E-4,2.798205242E-4
9.104625750E0,5.178600550E-4,-1.943331212E-3,-1.885392237E-3
9.205104750E0,-1.224573702E-3,8.469996974E-4,-3.758047242E-4
9.305583750E0,-2.405251376E-3,-1.789480448E-4,-6.684446707E-4
9.406060000E0,5.170432851E-4,1.612803899E-4,9.554615244E-4
9.506539000E0,-8.329516277E-4,-1.025209203E-4,-3.129059914E-4
9.607018000E0,-1.162992790E-3,-1.437336206E-3,-4.731682129E-4
9.707497000E0,-2.953711897E-3,-1.167105976E-3,-2.297368832E-3
9.807977000E0,1.767463982E-3,7.643876597E-4,-2.022372093E-3
9.908456000E0,-3.215549514E-4,1.914789900E-4,-1.517126802E-4
1.000893500E1,-9.568249807E-4,-4.368992522E-4,-1.163981855E-3
1.010941500E1,-7.489593700E-4,1.945362426E-3,-2.758054528E-3
1.020989400E1,-1.639826223E-3,5.273316056E-4,-1.536235679E-3
1.031037300E1,9.423680604E-4,1.752130222E-3,1.365615521E-3
1.041085187E1,1.150509343E-3,-3.332872875E-4,2.019160893E-4
1.051133088E1,-2.469960600E-5,4.837699234E-4,1.000950113E-3
1.061181088E1,2.202247269E-3,-2.522766590E-5,1.123232534E-3
1.071228987E1,-6.598867476E-4,-1.797978766E-4,-3.054872155E-3
1.081276888E1,-2.216683701E-3,-2.081310842E-3,2.020948566E-3
1.091324888E1,-1.308314502E-3,-6.937240250E-4,-3.860911820E-4
1.101372787E1,3.581739031E-3,9.545525536E-4,1.383943018E-4
1.111420788E1,3.147325478E-3,1.920508221E-4,-1.012678142E-3
1.121468687E1,1.554876566E-3,7.005743682E-4,3.384547308E-4
1.131516588E1,-6.128782406E-4,1.010857522E-4,-4.091400187E-4
1.141564588E1,-3.021895885E-3,2.441471443E-4,1.369316131E-3
1.151612887E1,-1.378185116E-3,8.189403452E-4,-3.153849393E-4
1.161660887E1,2.233305015E-3,1.429882832E-4,8.339015767E-5
1.171708788E1,-2.591218799E-4,-4.702946171E-4,1.864461461E-3
1.181756787E1,-2.169543877E-4,-3.591608256E-4,-7.307892665E-4
1.191804688E1,-1.270618290E-3,6.596380845E-4,-1.129064593E-3
1.201852688E1,-1.305434853E-4,6.503365003E-4,1.254867064E-3
1.211900587E1,1.268548891E-3,-9.407009929E-4,-2.823558170E-4
1.221948588E1,-6.442125887E-4,2.051085234E-3,1.896519680E-3
1.231996488E1,-1.090407372E-3,-1.975950785E-3,2.168347128E-4
1.242044487E1,1.256102696E-4,6.884234026E-4,5.971335340E-4
1.252092162E1,2.308590338E-4,-1.456554979E-3,1.502090832E-3
1.262140063E1,3.813672811E-5,6.634490564E-4,1.122322399E-3
1.272188063E1,-1.023530029E-3,5.041342229E-4,-4.394615535E-4
1.282235962E1,-3.745155409E-4,-6.129988469E-4,-3.105979413E-4
1.292283963E1,-1.346524805E-4,-5.319188349E-4,8.205731865E-4
1.302331862E1,-1.561641693E-4,-1.943132840E-3,6.233998574E-4
1.312379862E1,-5.102967843E-4,-2.122976352E-3,-5.495406222E-4
1.322427763E1,5.425969139E-4,7.502036169E-5,-1.725025126E-3
1.332475762E1,-6.901314482E-4,-5.088150501E-4,6.121979095E-4
1.342523762E1,-1.959493384E-4,-8.316417225E-4,1.223833533E-3
1.352571700E1,-9.036641568E-4,-7.851701230E-5,3.443695605E-4
1.362619700E1,1.784870401E-4,6.244294345E-4,-3.267626045E-3
1.372667600E1,-1.364727505E-3,-8.286349475E-4,1.269587316E-3
1.382715600E1,-1.227268949E-3,9.631109424E-4,1.073703170E-4
1.392763500E1,-1.265321858E-3,2.138692420E-3,-3.056419082E-4
1.402811500E1,-1.231512986E-3,-1.793638337E-3,7.315541152E-4
1.412859500E1,-1.233246177E-3,2.468773164E-4,2.557940315E-4
1.422907400E1,6.990861148E-4,1.869881526E-3,1.737501007E-3
1.432955400E1,4.788674414E-4,2.450854518E-4,8.448485751E-4
1.443003300E1,1.023558900E-3,-7.460080087E-5,1.390092075E-4
1.453051263E1,4.631652497E-3,-1.060527749E-3,1.770809758E-4
1.463099162E1,2.346781082E-3,4.316116683E-4,1.998005901E-4
1.473147163E1,-1.982013695E-3,7.519931532E-4,8.008144796E-4
1.483195163E1,-2.223112620E-3,1.851427369E-4,9.559334721E-4
1.493243062E1,1.109987497E-3,7.543521933E-4,1.196414698E-3
1.503291063E1,-9.483182803E-4,1.155806240E-3,3.830988426E-4
1.513338962E1,-2.536217682E-3,-5.961428396E-4,1.483792439E-4
1.523386962E1,-1.210580580E-3,7.466576062E-4,-1.274554525E-4
1.533434863E1,-1.908091828E-3,-1.444713213E-3,1.516322372E-3
1.543482863E1,9.425915778E-5,4.185978323E-4,9.328855667E-4
1.553531117E1,-4.190541804E-4,-7.291031070E-4,-9.320853278E-4
1.563579117E1,5.966499448E-4,-8.776993491E-4,3.662565723E-4
1.573627017E1,3.311140463E-3,-3.662402742E-4,-1.132825390E-3
1.583675017E1,2.245431766E-3,-6.781169213E-4,2.519434318E-3
1.593722917E1,-1.555541530E-4,-5.754176527E-5,-3.902814351E-4
1.603770917E1,1.187326387E-3,-1.002889592E-3,-1.302105840E-3
1.613818817E1,5.112504587E-4,8.548740298E-4,6.084558554E-4
1.623866817E1,-2.176070586E-3,-7.125814445E-4,-2.820498776E-4
1.633914717E1,9.472705424E-4,2.868610434E-3,-8.571248036E-4
1.643962717E1,-2.937741578E-3,-1.361914910E-4,1.233513234E-3
1.654010263E1,1.402605325E-3,2.253818791E-3,3.092119005E-4
1.664058262E1,-2.817474306E-4,-7.302574813E-4,-4.481561482E-4
1.674106262E1,-1.963805407E-4,-6.573079154E-4,1.780073158E-3
1.684154163E1,-3.231680021E-4,2.134446986E-4,-9.219753556E-4
1.694202163E1,1.171397977E-3,-2.879761159E-4,4.830777179E-4
1.704250063E1,1.181578264E-3,2.052339260E-3,1.921131508E-3
1.714298063E1,-2.460668795E-3,-1.335936598E-3,-8.753233124E-4
1.724345962E1,6.581367925E-4,1.702006906E-3,3.026502673E-4
1.734393962E1,-5.442211404E-4,1.002847217E-3,-7.494371384E-4
1.744441863E1,1.631922089E-3,-2.118595876E-4,1.762229018E-3
1.754489850E1,-1.400443725E-3,-1.353485044E-3,-1.477302168E-3
1.764537750E1,2.085274085E-3,-1.826435328E-4,9.853858501E-4
1.774585750E1,-6.729951128E-4,3.990162630E-3,-2.369211055E-3
1.784633650E1,-3.896504641E-4,-2.233951353E-3,-5.510123447E-5
1.794681650E1,1.092310995E-4,-2.656411845E-3,1.521545928E-3
1.804729550E1,-1.566660590E-3,1.045449637E-3,-4.422967322E-5
1.814777550E1,6.529018283E-4,1.870721113E-3,2.762691816E-3
1.824825450E1,-1.094760373E-3,2.572531812E-3,-3.495865967E-4
1.834873450E1,4.081353545E-4,1.926186029E-3,1.845740713E-3
1.844921450E1,-1.217432320E-3,6.728838198E-4,2.025323920E-5
1.854969388E1,1.883419231E-3,-2.841893584E-4,1.747724600E-4
1.865017388E1,-1.102321781E-3,-3.201011568E-4,-1.541438047E-3
1.875065287E1,1.132978126E-3,1.389066689E-3,-6.548382808E-4
1.885113287E1,3.621447831E-5,-3.485553898E-4,-1.000474207E-3
1.895161188E1,-2.189302817E-3,-9.420188144E-4,-3.121974878E-3
1.905209187E1,-3.383895382E-4,2.336963080E-4,4.409276880E-5
1.915257187E1,1.522023231E-4,-1.487191767E-4,2.248267177E-3
1.925305088E1,1.646583900E-3,1.512016170E-3,-1.825923100E-4
1.935353087E1,-2.918579616E-3,1.595789101E-3,-1.022231998E-3
1.945400988E1,1.341043971E-3,-9.498060681E-4,-1.587471925E-4
1.955448975E1,-9.082695469E-4,-1.868000254E-4,-9.038785938E-4
1.965496875E1,-3.638087772E-3,-4.372494295E-4,-1.364866504E-3
1.975544875E1,1.039389521E-3,1.710755751E-4,1.500178361E-3
1.985592875E1,3.127012402E-3,5.609961227E-5,2.659419551E-4
1.995640775E1,-2.388191409E-3,-2.074893564E-4,-1.044826349E-3
2.005688775E1,-1.053093001E-3,-9.964709170E-4,5.513920914E-4
2.015736675E1,1.493317075E-3,-2.342681400E-4,-5.908962339E-4
2.025784675E1,-2.213820815E-3,-5.343616940E-4,-2.987175016E-3
2.035832675E1,1.531438902E-3,2.924660221E-4,1.558612334E-3
2.045880575E1,8.026044816E-4,-2.073994838E-4,-8.355150931E-4
2.055928563E1,-2.634068951E-4,2.771679778E-3,1.705319155E-4
2.065976463E1,4.970040172E-4,9.738411754E-4,2.716501709E-3
2.076024463E1,6.240904331E-4,-4.335194826E-4,1.044837758E-3
2.086072463E1,1.096294262E-3,3.808815964E-4,7.282109000E-4
2.096120362E1,4.898970947E-4,-1.113103237E-3,-8.523790166E-4
2.106168363E1,-2.670474350E-4,-2.813204192E-4,-9.155578446E-4
2.116216262E1,-6.810231134E-4,-9.273360483E-4,-3.444373840E-3
2.126264262E1,-2.122364938E-3,-3.468431532E-4,2.070333110E-3
2.136312263E1,2.799609676E-3,2.987911459E-3,-1.660126960E-3
2.146360163E1,-1.420582645E-3,-2.067042049E-3,3.252110910E-4
2.156408212E1,-1.007705927E-3,-6.916373968E-5,3.367534373E-4
2.166456113E1,-2.118851990E-4,3.237165511E-4,1.076058950E-3
2.176504113E1,7.597682998E-4,5.661509931E-5,-3.092351835E-4
2.186552012E1,1.295118593E-3,1.797735691E-3,-1.133446116E-3
2.196600013E1,4.809340462E-4,7.474860176E-4,1.826993888E-3
2.206648013E1,9.727943689E-5,-6.094262935E-4,1.544135623E-3
2.216695912E1,-1.633766107E-3,4.110247828E-4,-4.422476050E-4
2.226743912E1,7.975967601E-4,7.889196277E-4,-3.914632834E-4
2.236791813E1,-2.227718011E-3,-3.656707704E-4,2.943370491E-4
2.246839812E1,-9.325565770E-4,3.475551493E-4,-6.944285706E-4
2.256887812E1,1.242463477E-3,4.927800037E-4,8.389819413E-5
2.266935713E1,-1.206962392E-3,2.394920681E-3,-2.399925143E-5
2.276983713E1,-2.747705206E-3,-2.931309864E-4,2.620113082E-5
2.287031613E1,1.171613112E-3,-1.060330309E-3,-2.201667055E-3
2.297079613E1,4.873434082E-4,-1.587073784E-3,8.113682270E-6
2.307127512E1,1.718308777E-4,4.644747823E-4,-5.141857546E-4
2.317175512E1,8.687665686E-4,-9.523844346E-5,-2.868042793E-4
2.327223413E1,1.601224765E-3,-3.200210631E-4,-1.113229198E-3
2.337271412E1,-1.153320074E-3,2.275309525E-4,-5.405484699E-4
2.347319412E1,2.300501801E-3,1.021525823E-4,2.630441450E-4
2.357367617E1,2.721436322E-4,-4.764366895E-5,-8.391828742E-4
2.367415617E1,-1.426381990E-3,1.076809131E-4,-1.256083720E-3
2.377463517E1,-2.392590977E-3,-5.795368925E-4,1.271553803E-3
2.387511517E1,4.569990560E-4,1.689672936E-3,-1.212114468E-3
2.397559517E1,-1.827627420E-4,-2.494421788E-4,-9.348348249E-4
2.407607417E1,2.221860923E-3,-1.542032231E-3,4.122632090E-4
2.417655417E1,-1.516671851E-3,1.696753316E-3,-1.187103335E-3
2.427703317E1,-3.270199522E-4,2.179946750E-5,-7.330749650E-4
2.437751317E1,1.271082088E-3,5.558924749E-5,9.253369644E-4
