"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.044069125E0,1.917512512E-1,-6.765930176E-2,9.799372101E0
9.144558125E0,1.884580994E-1,-6.721023560E-2,9.806257782E0
9.245048125E0,1.850152588E-1,-6.601272583E-2,9.803862762E0
9.345537125E0,1.922003174E-1,-7.843688965E-2,9.808203735E0
9.446026125E0,1.945953369E-1,-7.200027466E-2,9.814640350E0
9.546516250E0,1.913021851E-1,-7.035369873E-2,9.795031128E0
9.647005250E0,1.927990723E-1,-6.092330933E-2,9.812095642E0
9.747494250E0,1.995350647E-1,-6.271957397E-2,9.789342957E0
9.847984250E0,1.799258423E-1,-6.765930176E-2,9.792037354E0
9.948473250E0,1.950444031E-1,-6.616241455E-2,9.805958405E0
1.004896225E1,1.974394226E-1,-6.795867920E-2,9.815089417E0
1.014945125E1,1.944456482E-1,-7.394622803E-2,9.806257782E0
1.024994125E1,1.968406677E-1,-6.242019653E-2,9.817484436E0
1.035043025E1,1.838177490E-1,-6.511459351E-2,9.811496887E0
1.045091925E1,1.836680603E-1,-6.631210327E-2,9.802066498E0
1.055140850E1,1.951940918E-1,-6.721023560E-2,9.805659027E0
1.065189850E1,1.878593445E-1,-7.259902954E-2,9.806706848E0
1.075238750E1,1.878593445E-1,-7.050338745E-2,9.809700623E0
1.085287650E1,1.914518738E-1,-7.050338745E-2,9.801767120E0
1.095336550E1,1.854643250E-1,-6.541397095E-2,9.801168365E0
1.105385450E1,1.998344421E-1,-6.960525513E-2,9.802665253E0
1.115434450E1,1.956431580E-1,-7.140151978E-2,9.800120544E0
1.125483350E1,1.853146362E-1,-6.466552734E-2,9.804910583E0
1.135532250E1,1.942959595E-1,-7.783813477E-2,9.804910583E0
1.145581150E1,1.966909790E-1,-8.397537231E-2,9.814340973E0
1.155630088E1,1.799258423E-1,-6.077362061E-2,9.816735992E0
1.165678988E1,1.899549866E-1,-6.436614990E-2,9.810000000E0
1.175727888E1,1.914518738E-1,-6.870712280E-2,9.803114319E0
1.185776887E1,1.948947144E-1,-8.113128662E-2,9.804012451E0
1.195825787E1,1.941462708E-1,-6.526428223E-2,9.801767120E0
1.205874688E1,1.872605896E-1,-6.361770630E-2,9.800868988E0
1.215923588E1,1.950444031E-1,-7.364685059E-2,9.785301361E0
1.225972488E1,1.854643250E-1,-7.065307617E-2,9.808203735E0
1.236021388E1,1.968406677E-1,-7.214996338E-2,9.802964630E0
1.246070288E1,1.939965820E-1,-7.559280396E-2,9.806856537E0
1.256119092E1,1.939965820E-1,-7.364685059E-2,9.822274475E0
1.266167992E1,1.857637024E-1,-6.571334839E-2,9.817484436E0
1.276216892E1,1.922003174E-1,-6.646179199E-2,9.803264008E0
1.286265792E1,1.838177490E-1,-7.753875732E-2,9.810598755E0
1.296314692E1,1.890568542E-1,-6.990463257E-2,9.800120544E0
1.306363592E1,1.972897339E-1,-7.409591675E-2,9.800719299E0
1.316412492E1,1.799258423E-1,-6.541397095E-2,9.801318054E0
1.326461392E1,1.863624573E-1,-6.256988525E-2,9.807006226E0
1.336510292E1,1.992356873E-1,-7.484436035E-2,9.797126770E0
1.346559192E1,1.919009399E-1,-7.334747314E-2,9.803862762E0
1.356608100E1,1.856140137E-1,-6.810836792E-2,9.813143463E0
1.366657000E1,1.887574768E-1,-7.694000244E-2,9.807754669E0
1.376705900E1,1.865121460E-1,-6.810836792E-2,9.806108093E0
1.386754800E1,1.887574768E-1,-7.379653931E-2,9.799372101E0
1.396803700E1,1.956431580E-1,-7.304809570E-2,9.806407471E0
1.406852600E1,1.784289551E-1,-7.050338745E-2,9.807455292E0
1.416901500E1,1.950444031E-1,-6.361770630E-2,9.802515564E0
1.426950400E1,1.959425354E-1,-6.765930176E-2,9.804162140E0
