"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.180830000E-1,-1.325566006E1,-4.631518173E1,5.547358036E0
2.185790000E-1,-1.317842770E1,-4.636641312E1,5.494199753E0
3.190740000E-1,-1.302846241E1,-4.630238342E1,5.535514832E0
4.195700000E-1,-1.303991985E1,-4.622814178E1,5.507182121E0
5.200660000E-1,-1.303508759E1,-4.621133804E1,5.466551304E0
6.205620000E-1,-1.296948624E1,-4.628771210E1,5.445052147E0
7.210570000E-1,-1.297036934E1,-4.627370453E1,5.546622753E0
8.215530000E-1,-1.302972221E1,-4.627856064E1,5.609047890E0
9.220490000E-1,-1.311162090E1,-4.620833969E1,5.582564831E0
1.022544167E0,-1.300369167E1,-4.621066284E1,5.452244282E0
1.123040167E0,-1.309395313E1,-4.618693161E1,5.648867607E0
1.223536167E0,-1.299975681E1,-4.626255417E1,5.483342171E0
1.324032167E0,-1.295555687E1,-4.628855515E1,5.530932426E0
1.424527167E0,-1.307573318E1,-4.624020767E1,5.547068596E0
1.525023167E0,-1.307536507E1,-4.632156372E1,5.430559158E0
1.625519167E0,-1.304717541E1,-4.620550156E1,5.535609722E0
1.726014167E0,-1.300985718E1,-4.622479630E1,5.469579697E0
1.826510167E0,-1.292273521E1,-4.650516891E1,5.445996284E0
1.927006167E0,-1.295637417E1,-4.627188492E1,5.309871197E0
2.027500542E0,-1.297278690E1,-4.626374435E1,5.216591358E0
2.127996542E0,-1.290119171E1,-4.641588593E1,5.418990612E0
2.228492542E0,-1.302348042E1,-4.631351852E1,4.986973286E0
2.328987542E0,-1.313569260E1,-4.642635345E1,5.238877296E0
2.429483542E0,-1.307853794E1,-4.634492874E1,5.275934219E0
2.529978542E0,-1.304587746E1,-4.638528442E1,5.216707230E0
2.630474542E0,-1.305004978E1,-4.626439285E1,5.260163784E0
2.730970542E0,-1.284686470E1,-4.641032791E1,5.821748257E0
2.831465542E0,-1.284840870E1,-4.635028076E1,5.812586308E0
2.931961542E0,-1.285369682E1,-4.635145950E1,5.545208931E0
3.032457167E0,-1.292563915E1,-4.629319763E1,5.534644127E0
3.132952167E0,-1.287196922E1,-4.639011765E1,5.402542114E0
3.233448167E0,-1.295313263E1,-4.627618790E1,5.464389801E0
3.333944167E0,-1.293655491E1,-4.625433731E1,5.571963787E0
3.434440167E0,-1.292213821E1,-4.633692169E1,5.546939373E0
3.534936167E0,-1.300057316E1,-4.618079376E1,5.435500145E0
3.635432167E0,-1.294577789E1,-4.630192184E1,5.130525112E0
3.735929167E0,-1.304075813E1,-4.620294952E1,5.193449020E0
3.836425167E0,-1.305615616E1,-4.632454300E1,5.232427120E0
3.936922167E0,-1.299993896E1,-4.622084427E1,5.364397049E0
4.037419750E0,-1.292658901E1,-4.617882919E1,5.362689495E0
4.137915750E0,-1.291062450E1,-4.613547134E1,5.403113842E0
4.238412750E0,-1.292875671E1,-4.634544373E1,5.256811619E0
4.338909750E0,-1.299556351E1,-4.624728012E1,5.448157310E0
4.439406750E0,-1.297028446E1,-4.625305557E1,5.413773537E0
4.539904750E0,-1.293593121E1,-4.606097031E1,5.313447952E0
4.640401750E0,-1.301671982E1,-4.606803894E1,5.351588249E0
4.740898750E0,-1.310903549E1,-4.601607132E1,5.273667812E0
4.841396750E0,-1.299711800E1,-4.616064835E1,5.178654194E0
4.941893750E0,-1.300736809E1,-4.632183075E1,5.337748528E0
5.042391667E0,-1.297233009E1,-4.613188171E1,5.200165749E0
5.142888667E0,-1.295550919E1,-4.615748978E1,5.427333355E0
5.243386667E0,-1.290462589E1,-4.618264771E1,5.240187645E0
5.343884667E0,-1.293720913E1,-4.622462845E1,5.342853546E0
5.444381667E0,-1.289854527E1,-4.620921707E1,5.212139130E0
5.544879667E0,-1.296767330E1,-4.613517761E1,5.351382256E0
5.645377667E0,-1.294441795E1,-4.619451141E1,5.357082844E0
5.745875667E0,-1.288077545E1,-4.632810974E1,5.377884865E0
5.846373667E0,-1.302378941E1,-4.620506668E1,5.417607784E0
5.946871667E0,-1.303483963E1,-4.605732346E1,5.367819786E0
6.047371000E0,-1.306152725E1,-4.610943604E1,5.437447548E0
6.147869000E0,-1.309701729E1,-4.625435638E1,5.206754684E0
6.248367000E0,-1.317088795E1,-4.609366226E1,5.348311901E0
6.348865000E0,-1.305165958E1,-4.609723282E1,5.447277546E0
6.449364000E0,-1.309398174E1,-4.608620071E1,5.558506012E0
6.549862000E0,-1.312126541E1,-4.617140961E1,5.499925137E0
6.650360000E0,-1.313649559E1,-4.626141357E1,5.616983414E0
6.750859000E0,-1.313799858E1,-4.611531830E1,5.449211121E0
6.851358000E0,-1.316216755E1,-4.601936722E1,5.380485535E0
6.951856000E0,-1.312713623E1,-4.628097153E1,5.418484211E0
7.052355250E0,-1.307663441E1,-4.618168640E1,5.421770096E0
7.152853250E0,-1.292681694E1,-4.631065750E1,5.349133968E0
