"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,5.345055833E-4,1.014651265E-3,4.563785624E-4
1.055280000E-1,6.617261097E-4,-3.066095524E-4,-1.154114725E-3
2.110550000E-1,3.428049386E-4,-4.968908615E-4,1.681317342E-3
3.165820000E-1,-7.156748325E-5,1.183231827E-3,6.401424762E-4
4.221100000E-1,-3.745155409E-4,1.367442310E-4,1.918319613E-4
5.276370000E-1,-3.314647824E-3,-1.933034044E-3,2.360736951E-3
6.331640000E-1,-1.378911547E-3,8.613090031E-4,1.215920551E-3
7.386877917E-1,-2.311309800E-4,2.601211891E-4,-5.169834476E-4
8.442147917E-1,1.102399081E-3,4.024030641E-4,-3.247917630E-5
9.497427917E-1,2.218141221E-3,1.050004736E-3,4.051348660E-4
1.055270792E0,-2.530496567E-4,1.840271056E-3,-4.059066996E-4
1.160797792E0,-4.938393831E-4,6.234901957E-4,-1.353680738E-3
1.266325792E0,2.608234063E-3,2.976968419E-3,3.016227856E-4
1.371852792E0,-2.832014114E-3,9.916303679E-5,1.067517558E-3
1.477380792E0,1.161484048E-3,-5.415617488E-4,-3.741774708E-5
1.582907792E0,2.160556614E-4,1.237064600E-3,1.410565106E-3
1.688435125E0,6.162123755E-4,6.789262407E-4,1.730166841E-4
1.793963125E0,-1.271752641E-3,-5.791690201E-4,2.008841839E-3
1.899490125E0,2.095660195E-3,-4.373049363E-3,-6.175858434E-4
2.005017125E0,3.818292171E-4,-3.918823786E-4,-1.055798493E-3
2.110544125E0,-2.236347646E-4,-3.342051059E-4,6.976486184E-4
2.216071125E0,-8.126851171E-4,7.904865779E-4,1.117992448E-3
2.321598125E0,1.630874351E-3,1.018373761E-3,-1.172939315E-3
2.427124125E0,8.514914662E-4,3.292709589E-4,1.285080332E-3
2.532651125E0,2.672011964E-3,-6.552031264E-4,-1.012421213E-3
2.638178125E0,7.186476141E-4,-2.155604307E-3,-1.831816044E-4
2.743707625E0,6.843078882E-5,1.861746889E-3,-8.303739596E-4
2.849234625E0,-5.494700745E-4,-6.618914194E-4,-6.487716455E-4
2.954761625E0,2.139423974E-3,2.902122680E-3,5.710369442E-4
3.060287625E0,3.417497501E-4,-1.121829730E-3,9.763850830E-4
3.165814625E0,-1.024734229E-4,2.922243439E-4,-1.185001340E-3
3.271340625E0,4.941495135E-4,-5.715601146E-4,-1.094186911E-3
3.376866625E0,1.159613952E-3,1.148868352E-3,-4.789412487E-4
3.482393625E0,1.465864480E-3,8.335085586E-4,1.850767527E-3
3.587919625E0,6.616720930E-4,-1.642201561E-3,-6.562529597E-4
3.693441750E0,-5.133030936E-4,-1.023956109E-3,1.370321959E-3
3.798968750E0,-5.339961499E-4,-2.207355574E-4,1.722932560E-3
3.904494750E0,3.648066893E-3,1.219400205E-3,-1.839108299E-4
4.010020750E0,6.117420271E-4,-2.395067830E-3,2.273558639E-4
4.115546750E0,2.983063459E-3,-3.995839506E-6,-1.329267980E-3
