"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.793999994E-3,-4.216709137E-1,2.392102432E1,-4.097621155E1
1.143240000E-1,-1.192092896E-2,2.367161942E1,-4.075855255E1
2.198540000E-1,4.171934128E-1,2.317428398E1,-4.087618256E1
3.253840000E-1,2.204513550E-1,2.321797562E1,-4.110281372E1
4.309140000E-1,1.783447266E-1,2.299751663E1,-4.114138031E1
5.364440000E-1,2.032356262E-1,2.285340309E1,-4.116188812E1
6.419740000E-1,1.852674484E-1,2.282438278E1,-4.137089539E1
7.475038750E-1,1.503677368E-1,2.275054550E1,-4.152001953E1
8.530338750E-1,1.244926453E-1,2.284354210E1,-4.134291840E1
9.585638750E-1,1.729249954E-1,2.293098068E1,-4.141259003E1
1.064093875E0,1.795568466E-1,2.313097954E1,-4.099076080E1
1.169623875E0,1.260824203E-1,2.334707832E1,-4.133918762E1
1.275153875E0,4.863643646E-2,2.331835365E1,-4.104707336E1
1.380683875E0,1.245498657E-3,2.328269958E1,-4.100453186E1
1.486213875E0,-5.382442474E-2,2.344739723E1,-4.106423950E1
1.591743875E0,-8.356475830E-2,2.329988289E1,-4.112577057E1
1.697273625E0,-4.580688477E-2,2.326333809E1,-4.121393585E1
1.802803625E0,-1.138868332E-1,2.348096085E1,-4.105055237E1
1.908332625E0,-7.456398010E-2,2.348783493E1,-4.103288269E1
2.013862625E0,4.675674438E-2,2.324063301E1,-4.091900635E1
2.119392625E0,-2.413177490E-2,2.323300743E1,-4.120393372E1
2.224922625E0,-5.729579926E-2,2.332312202E1,-4.120280457E1
2.330452625E0,-1.466493607E-1,2.319575882E1,-4.104235077E1
2.435982625E0,-3.169059753E-2,2.318464088E1,-4.115535736E1
2.541511625E0,2.078914642E-2,2.315000534E1,-4.120230103E1
2.647041625E0,-8.742332458E-2,2.319353485E1,-4.115266418E1
2.752570750E0,5.393314362E-2,2.307224846E1,-4.092719269E1
2.858100750E0,-2.997016907E-2,2.294293594E1,-4.081483459E1
2.963630750E0,-9.675312042E-2,2.309565735E1,-4.068179321E1
3.069159750E0,-9.309768677E-3,2.314034843E1,-4.082294464E1
3.174689750E0,7.633876801E-2,2.297881317E1,-4.063277435E1
3.280219750E0,-1.047868729E-1,2.322681808E1,-4.104186249E1
3.385749750E0,-7.033729553E-2,2.305397987E1,-4.086840057E1
3.491279750E0,-7.896709442E-2,2.314976501E1,-4.122135162E1
3.596808750E0,-1.529922485E-1,2.287205696E1,-4.111139679E1
3.702339125E0,-1.955928802E-1,2.283880424E1,-4.095928192E1
3.807869125E0,-1.415491104E-1,2.281672287E1,-4.084584808E1
3.913399125E0,-2.214212418E-1,2.303734779E1,-4.101905823E1
4.018928125E0,-2.083892822E-1,2.298109436E1,-4.123441315E1
4.124458125E0,-1.199083328E-1,2.280446815E1,-4.102870941E1
4.229988125E0,-2.272262573E-1,2.288833618E1,-4.097840881E1
4.335518125E0,-1.572637558E-1,2.291510773E1,-4.098875427E1
4.441047125E0,-2.508115768E-1,2.290052414E1,-4.117987823E1
4.546577125E0,-1.602296829E-1,2.287712479E1,-4.125125885E1
4.652107125E0,-2.284288406E-1,2.293355942E1,-4.128244019E1
4.757636375E0,-1.514835358E-1,2.292045021E1,-4.100349426E1
