"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.456870000E-1,-2.613361931E1,-2.733668327E0,-4.199985504E1
2.461600000E-1,-2.606523323E1,-2.906071663E0,-4.212689209E1
3.466368334E-1,-2.609856033E1,-2.918922424E0,-4.156106567E1
4.471098334E-1,-2.599077225E1,-2.755174637E0,-4.167587280E1
5.475838333E-1,-2.605620575E1,-2.785302162E0,-4.195499420E1
6.480568333E-1,-2.597459030E1,-2.833130836E0,-4.197175598E1
7.485298333E-1,-2.603347015E1,-2.662798882E0,-4.192004395E1
8.490028334E-1,-2.601180077E1,-2.691741943E0,-4.188594818E1
9.494768333E-1,-2.597756004E1,-2.780788422E0,-4.175030518E1
1.049949833E0,-2.607202530E1,-2.781167030E0,-4.193774414E1
1.150422833E0,-2.609437561E1,-2.736580849E0,-4.192939758E1
1.250895833E0,-2.596176910E1,-2.806698799E0,-4.170103455E1
1.351367083E0,-2.604645729E1,-2.786152840E0,-4.168466187E1
1.451840083E0,-2.596805954E1,-2.476690292E0,-4.187881470E1
1.552313083E0,-2.601082802E1,-2.582562447E0,-4.178434753E1
1.652786083E0,-2.602843285E1,-2.572616577E0,-4.171939850E1
1.753260083E0,-2.596626663E1,-2.805378914E0,-4.171251678E1
1.853733083E0,-2.593040848E1,-2.769762993E0,-4.174971008E1
1.954206083E0,-2.599619675E1,-2.803604126E0,-4.176366425E1
2.054679083E0,-2.595952606E1,-2.725054741E0,-4.188673401E1
2.155152083E0,-2.596018600E1,-2.733349800E0,-4.176118469E1
2.255626083E0,-2.596966934E1,-2.734628677E0,-4.174184418E1
2.356098708E0,-2.586820602E1,-2.766615868E0,-4.171689606E1
2.456571708E0,-2.591545105E1,-2.685183525E0,-4.173761749E1
2.557044708E0,-2.593603325E1,-2.786911011E0,-4.181890106E1
2.657518708E0,-2.599871826E1,-2.850941658E0,-4.191281128E1
2.757991708E0,-2.610497475E1,-2.722332954E0,-4.168279266E1
2.858464708E0,-2.600128555E1,-2.877697945E0,-4.185835266E1
2.958937708E0,-2.594176292E1,-2.827857971E0,-4.192296600E1
3.059411708E0,-2.603761673E1,-2.719567299E0,-4.189689636E1
3.159884708E0,-2.598766708E1,-2.843379974E0,-4.186624146E1
3.260357708E0,-2.602159882E1,-2.941914558E0,-4.166132355E1
3.360830083E0,-2.596193504E1,-2.980348587E0,-4.181172180E1
3.461304083E0,-2.599081039E1,-2.848803520E0,-4.171619415E1
3.561777083E0,-2.609594154E1,-2.833332062E0,-4.182250977E1
3.662250083E0,-2.597477150E1,-2.900029182E0,-4.153826904E1
3.762723083E0,-2.601590729E1,-2.983128548E0,-4.170820618E1
3.863197083E0,-2.594807816E1,-3.027536392E0,-4.182804108E1
3.963670083E0,-2.597432137E1,-2.824903488E0,-4.178271484E1
4.064143083E0,-2.596128654E1,-2.884379387E0,-4.196502686E1
4.164616083E0,-2.592455482E1,-2.865782738E0,-4.196844482E1
4.265090083E0,-2.601701736E1,-2.942887306E0,-4.151793671E1
4.365562833E0,-2.598671722E1,-2.968372345E0,-4.160931396E1
4.466035833E0,-2.603538513E1,-2.799936295E0,-4.177038574E1
4.566508833E0,-2.611447525E1,-2.746793747E0,-4.197855377E1
4.666982833E0,-2.603079224E1,-2.802146912E0,-4.188249207E1
4.767455833E0,-2.610809517E1,-2.803620338E0,-4.174947357E1
4.867928833E0,-2.600239944E1,-2.735869408E0,-4.182709503E1
4.968401833E0,-2.601447105E1,-2.811133385E0,-4.177363586E1
5.068875833E0,-2.599398041E1,-2.896291733E0,-4.169453430E1
5.169348833E0,-2.593412399E1,-2.882395744E0,-4.120741272E1
5.269821833E0,-2.593275070E1,-2.822381973E0,-4.163720703E1
5.370298958E0,-2.591923141E1,-2.858625412E0,-4.157752228E1
5.470772958E0,-2.608460236E1,-2.715045929E0,-4.177934265E1
5.571245958E0,-2.603777695E1,-2.744117737E0,-4.184771729E1
5.671718958E0,-2.593790436E1,-2.768025398E0,-4.178855133E1
5.772191958E0,-2.607408333E1,-2.634615898E0,-4.177088165E1
5.872664958E0,-2.597718048E1,-2.720421791E0,-4.156489563E1
5.973138958E0,-2.607020950E1,-2.792912483E0,-4.176344299E1
6.073611958E0,-2.606289864E1,-2.708642006E0,-4.204405975E1
6.174084958E0,-2.615798187E1,-2.672204971E0,-4.181429291E1
6.274557958E0,-2.606983566E1,-2.733241081E0,-4.182067108E1
6.375028125E0,-2.600135422E1,-2.817344666E0,-4.165148926E1
6.475501125E0,-2.606381607E1,-2.782743454E0,-4.194354248E1
6.575974125E0,-2.609369659E1,-2.666731834E0,-4.184802246E1
6.676447125E0,-2.611977768E1,-2.641014099E0,-4.179137421E1
6.776921125E0,-2.615454674E1,-2.566487312E0,-4.178875732E1
6.877394125E0,-2.610182571E1,-2.563592911E0,-4.181276703E1
6.977867125E0,-2.602709198E1,-2.677559853E0,-4.165664673E1
7.078340125E0,-2.605187225E1,-2.780641556E0,-4.175904083E1
7.178814125E0,-2.594766617E1,-2.740867615E0,-4.151013184E1
7.279287125E0,-2.586214256E1,-2.915324211E0,-4.160623932E1
7.379760333E0,-2.592690849E1,-2.846535683E0,-4.160077667E1
7.480234333E0,-2.604817390E1,-2.601140022E0,-4.147602844E1
7.580707333E0,-2.593058777E1,-2.735275269E0,-4.126453400E1
7.681180333E0,-2.603583527E1,-2.694087029E0,-4.148457336E1
7.781653333E0,-2.604282761E1,-2.611442566E0,-4.162801361E1
7.882127333E0,-2.601427269E1,-2.815629959E0,-4.158193207E1
7.982600333E0,-2.613801575E1,-2.445073128E0,-4.148524475E1
8.083073333E0,-2.607478333E1,-2.655829430E0,-4.166667175E1
8.183546333E0,-2.614187622E1,-2.472896576E0,-4.169934845E1
8.284020333E0,-2.608288383E1,-2.614280701E0,-4.179959106E1
8.384493708E0,-2.613860321E1,-2.588876724E0,-4.191659546E1
8.484966708E0,-2.611901474E1,-2.568959236E0,-4.188878632E1
8.585439708E0,-2.599082947E1,-2.588575363E0,-4.192935181E1
8.685913708E0,-2.609859276E1,-2.599849701E0,-4.160564423E1
8.786386708E0,-2.600671387E1,-2.561804771E0,-4.155649567E1
8.886859708E0,-2.603250122E1,-2.670488358E0,-4.154367065E1
8.987332708E0,-2.605045319E1,-2.718605995E0,-4.157811737E1
9.087805708E0,-2.609054184E1,-2.840508461E0,-4.168321991E1
9.188279708E0,-2.603546906E1,-2.645002365E0,-4.169211578E1
9.288752708E0,-2.597914124E1,-2.604903221E0,-4.192852783E1
9.389226208E0,-2.600665092E1,-2.577646255E0,-4.181903076E1
9.489699208E0,-2.606228256E1,-2.883713722E0,-4.176375580E1
9.590172208E0,-2.614733505E1,-2.609192848E0,-4.186287689E1
9.690646208E0,-2.612667465E1,-2.540554047E0,-4.201712036E1
9.791119208E0,-2.612705994E1,-2.613496780E0,-4.185279083E1
9.891592208E0,-2.619306946E1,-2.580219269E0,-4.188213348E1
9.992065208E0,-2.614175034E1,-2.670107841E0,-4.188754272E1
1.009253921E1,-2.607190704E1,-2.661207199E0,-4.194294739E1
1.019301221E1,-2.602478790E1,-2.628217697E0,-4.173822784E1
1.029348521E1,-2.609321976E1,-2.642435074E0,-4.183226776E1
1.039395796E1,-2.614421082E1,-2.580965996E0,-4.165892792E1
1.049443096E1,-2.609520149E1,-2.736541748E0,-4.161035919E1
1.059490396E1,-2.612397003E1,-2.775876045E0,-4.170823669E1
1.069537796E1,-2.607467270E1,-2.743907928E0,-4.167214203E1
1.079585096E1,-2.606715012E1,-2.713597298E0,-4.174431610E1
1.089632396E1,-2.601645470E1,-2.710281372E0,-4.173043060E1
1.099679696E1,-2.610032654E1,-2.631917953E0,-4.163860321E1
1.109726996E1,-2.611420441E1,-2.619744301E0,-4.156610107E1
1.119774296E1,-2.608890152E1,-2.640387535E0,-4.169704437E1
1.129821696E1,-2.610347366E1,-2.619733810E0,-4.185586548E1
1.139868946E1,-2.617686462E1,-2.502495766E0,-4.165991974E1
