"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.105240000E-1,-2.210546494E1,-3.618912697E0,-4.184691620E1
2.110010000E-1,-2.188991165E1,-3.845797539E0,-4.150566101E1
3.114766667E-1,-2.206617546E1,-3.819925308E0,-4.203122711E1
4.119536667E-1,-2.197311783E1,-3.763931274E0,-4.196840668E1
5.124296666E-1,-2.191253281E1,-3.885682106E0,-4.193140411E1
6.129066666E-1,-2.193878555E1,-3.965332985E0,-4.193097687E1
7.133826666E-1,-2.203871536E1,-3.942090034E0,-4.171079254E1
8.138586667E-1,-2.196196365E1,-3.797491074E0,-4.176048279E1
9.143356667E-1,-2.193406487E1,-4.009468079E0,-4.171189117E1
1.014811667E0,-2.199195099E1,-4.063898087E0,-4.167845154E1
1.115288667E0,-2.199825668E1,-4.107018471E0,-4.194541931E1
1.215764667E0,-2.190169907E1,-3.974994659E0,-4.191595459E1
1.316246125E0,-2.203131485E1,-3.968782425E0,-4.184490204E1
1.416723125E0,-2.203508377E1,-3.984525681E0,-4.166278076E1
1.517199125E0,-2.197576523E1,-4.026829720E0,-4.167436981E1
1.617675125E0,-2.201549149E1,-4.103745461E0,-4.193239594E1
1.718152125E0,-2.210350800E1,-3.957639694E0,-4.183706665E1
1.818628125E0,-2.202635574E1,-4.024760246E0,-4.198810577E1
1.919104125E0,-2.198163795E1,-3.977937698E0,-4.175594330E1
2.019581125E0,-2.200358582E1,-4.114955902E0,-4.184557343E1
2.120057125E0,-2.192225838E1,-4.034198761E0,-4.175250244E1
2.220533125E0,-2.185221100E1,-4.071377754E0,-4.184367371E1
2.321004042E0,-2.189574432E1,-4.088383675E0,-4.184838104E1
2.421481042E0,-2.189750671E1,-3.982604027E0,-4.201081848E1
2.521957042E0,-2.187283516E1,-4.070420265E0,-4.186204529E1
2.622433042E0,-2.197793007E1,-4.031972885E0,-4.218645477E1
2.722909042E0,-2.193676186E1,-3.937551498E0,-4.187232971E1
2.823385042E0,-2.191609001E1,-3.978546143E0,-4.207663727E1
2.923862042E0,-2.191728210E1,-3.818942070E0,-4.178339386E1
3.024338042E0,-2.196989250E1,-3.824831009E0,-4.196987152E1
3.124814042E0,-2.191332054E1,-3.766003609E0,-4.180659485E1
3.225290042E0,-2.192568398E1,-3.764082909E0,-4.211169434E1
3.325766125E0,-2.194029999E1,-4.144080162E0,-4.215959930E1
