"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.005100000E-2,5.703140259E-2,1.649569702E-1,9.803114319E0
1.105530000E-1,6.661148071E-2,1.634600830E-1,9.782157898E0
2.110550000E-1,4.894821167E-2,1.552272034E-1,9.771979065E0
3.115570000E-1,4.415817261E-2,1.724414062E-1,9.743687897E0
4.120590000E-1,6.541397095E-2,1.568737793E-1,9.761201477E0
5.125620000E-1,6.152206421E-2,1.616638184E-1,9.790540466E0
6.130640000E-1,5.089416504E-2,1.555265808E-1,9.784103851E0
7.135617917E-1,6.137237549E-2,1.501377869E-1,9.792636108E0
8.140647917E-1,5.029541016E-2,1.604663086E-1,9.764494629E0
9.145667917E-1,6.391708374E-2,1.556762695E-1,9.766440582E0
1.015069792E0,5.538482666E-2,1.586700439E-1,9.779463501E0
1.115571792E0,5.448669434E-2,1.525328064E-1,9.777218170E0
1.216073792E0,6.122268677E-2,1.654060364E-1,9.796677704E0
1.316576792E0,4.999603271E-2,1.633103943E-1,9.804311829E0
1.417078792E0,6.676116943E-2,1.619631958E-1,9.806257782E0
1.517581792E0,5.029541016E-2,1.540296936E-1,9.795031128E0
1.618083792E0,5.089416504E-2,1.588197327E-1,9.792785797E0
1.718586125E0,5.418731689E-2,1.604663086E-1,9.793234863E0
1.819088125E0,5.867797852E-2,1.603166199E-1,9.803413696E0
1.919590125E0,5.852828979E-2,1.507365417E-1,9.784552917E0
2.020092125E0,5.718109131E-2,1.597178650E-1,9.792935486E0
2.120594125E0,6.182144165E-2,1.571731567E-1,9.811197510E0
2.221096125E0,5.628295898E-2,1.651066589E-1,9.808952179E0
2.321598125E0,5.523513794E-2,1.636097717E-1,9.814340973E0
2.422099125E0,5.403762817E-2,1.628613281E-1,9.804461517E0
2.522601125E0,5.987548828E-2,1.570234680E-1,9.787397003E0
2.623103125E0,5.553451538E-2,1.604663086E-1,9.798473969E0
2.723607625E0,5.763015747E-2,1.600172424E-1,9.795330505E0
2.824109625E0,5.553451538E-2,1.549278259E-1,9.798024902E0
2.924610625E0,6.107299805E-2,1.571731567E-1,9.801318054E0
3.025112625E0,5.822891235E-2,1.562750244E-1,9.791887665E0
3.125613625E0,5.613327026E-2,1.501377869E-1,9.813442841E0
3.226114625E0,5.508544922E-2,1.573228455E-1,9.798473969E0
3.326616625E0,5.523513794E-2,1.556762695E-1,9.802964630E0
3.427117625E0,5.957611084E-2,1.570234680E-1,9.800270233E0
3.527618625E0,5.897735596E-2,1.586700439E-1,9.796827393E0
