"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.647499998E-2,7.802238688E-4,-3.033783287E-5,-1.011493732E-3
1.469600000E-1,-9.718332440E-4,-2.126244362E-3,-4.299662542E-4
2.474450000E-1,7.907785475E-4,9.790128097E-4,1.792688621E-3
3.479300000E-1,1.625471748E-3,1.014340669E-4,1.007597893E-5
4.484150000E-1,-2.329280600E-3,1.298114657E-3,1.799163176E-3
5.489000000E-1,-1.175839454E-3,2.185237594E-3,3.183488734E-4
6.493799583E-1,5.877790973E-4,7.031052373E-4,2.943573054E-4
7.498649583E-1,2.079643309E-4,-1.111624762E-3,2.843128750E-3
8.503499583E-1,-1.511531882E-3,-1.889044885E-3,1.353902044E-3
9.508349583E-1,6.750440225E-4,-2.105706371E-4,1.646342454E-3
1.051319958E0,-1.658643596E-3,9.643980302E-4,-4.914666060E-4
1.151804958E0,1.619048417E-4,-9.824251756E-4,-2.016021404E-3
1.252289958E0,6.889440119E-4,-4.264935851E-4,4.114301410E-4
1.352773958E0,-2.413768321E-3,6.637764163E-4,-1.066920813E-4
1.453258958E0,-2.269621938E-3,3.717248328E-4,-1.183799817E-3
1.553743958E0,-1.371424645E-3,-7.851729169E-4,7.194997743E-4
1.654229250E0,-1.409525983E-3,-4.202872515E-4,1.498482656E-3
1.754714250E0,7.311813533E-6,1.951302402E-4,-1.066516386E-3
1.855198250E0,6.491411477E-5,2.573343925E-3,-1.359155984E-3
1.955683250E0,2.382537350E-4,-9.562792256E-4,1.719973749E-3
2.056168250E0,-6.227102131E-5,6.520189345E-6,-7.564856205E-4
2.156653250E0,6.020953879E-4,1.341413241E-3,-3.932556137E-5
2.257137250E0,1.195268705E-4,2.354141325E-4,-1.016075024E-3
2.357622250E0,-2.961605787E-4,-2.082382329E-3,2.583809895E-3
2.458107250E0,-5.764681846E-4,1.598200761E-3,-9.056455456E-4
2.558591250E0,2.028085291E-4,1.822241582E-3,8.468283340E-5
2.659075958E0,5.999309942E-4,7.902039215E-4,1.404698240E-3
2.759560958E0,2.845460549E-4,1.104086172E-3,4.374794662E-5
2.860044958E0,3.628768027E-4,-4.344685003E-4,1.953987638E-3
2.960529958E0,6.546275690E-4,3.631623928E-3,5.137450062E-4
3.061014958E0,-1.502904110E-3,-1.633167267E-5,3.351992927E-5
3.161498958E0,2.725012600E-4,2.025161870E-3,-8.720406331E-4
3.261983958E0,1.805607229E-3,-3.596558236E-4,1.443873392E-3
3.362468958E0,8.532544598E-4,-7.012207061E-4,-2.467902144E-3
3.462952958E0,-1.354386099E-3,-2.116318792E-3,1.203555614E-3
3.563437708E0,2.553280443E-3,5.185506307E-4,-8.400261868E-4
3.663922708E0,3.998065367E-4,2.143691760E-3,-2.535153879E-3
3.764406708E0,-1.170975156E-3,1.659854781E-3,-2.874553902E-3
3.864891708E0,2.444004640E-4,4.111337475E-4,6.541681942E-4
3.965375708E0,2.510491759E-4,-1.775330864E-3,-1.570327790E-3
4.065860708E0,-1.932308078E-5,-6.818142720E-4,1.368478406E-3
4.166344708E0,8.903117850E-4,1.070960425E-4,1.913493033E-4
4.266829708E0,1.576614566E-3,2.847061493E-3,1.610901207E-3
4.367314708E0,-3.147138283E-3,-3.540785983E-4,-2.937596990E-3
4.467798708E0,1.220243052E-3,-1.168990508E-3,1.959197689E-4
4.568284333E0,-9.906105697E-5,2.744827420E-3,-1.393573824E-3
4.668768333E0,3.298148513E-4,-1.030038577E-3,1.798081212E-4
4.769253333E0,3.623727709E-3,1.545327716E-3,1.771375770E-3
4.869737333E0,1.185072586E-3,4.829042591E-4,2.193474211E-5
4.970222333E0,-1.011577435E-3,-1.787361689E-4,-1.723133028E-4
5.070706333E0,-1.404545270E-3,8.955476806E-4,-6.676788907E-4
5.171190333E0,8.220057935E-4,-8.653989062E-5,-6.852378137E-4
5.271675333E0,-5.304589868E-4,2.112607472E-4,1.150486059E-3
5.372159333E0,3.699166700E-4,-5.825711414E-4,1.594414003E-3
5.472644333E0,-2.563070506E-3,-2.817939967E-4,-4.506995901E-5
5.573132708E0,-8.643018082E-4,1.675390638E-3,-7.155148778E-4
5.673617708E0,2.031046897E-4,-7.369928062E-5,-2.335123718E-4
5.774101708E0,6.109010428E-5,-2.461786382E-3,-1.600569813E-3
5.874586708E0,-1.491331495E-3,1.533999108E-3,7.183989510E-4
