"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.029600001E-2,-4.178385925E1,2.145468521E1,3.898012161E0
1.607880000E-1,-4.163736725E1,2.147206879E1,4.303171158E0
2.612800000E-1,-4.166610718E1,2.148878860E1,4.293533325E0
3.617720000E-1,-4.169839859E1,2.149071884E1,4.217766285E0
4.622650000E-1,-4.167436600E1,2.155646896E1,4.361761093E0
5.627570000E-1,-4.164713669E1,2.135004044E1,4.382428646E0
6.632490000E-1,-4.164847565E1,2.147303200E1,4.162738323E0
7.637410000E-1,-4.182968140E1,2.162768555E1,4.260675907E0
8.642290000E-1,-4.179312897E1,2.165095520E1,4.195987701E0
9.647210000E-1,-4.172233582E1,2.165757370E1,3.905526161E0
1.065213000E0,-4.167495728E1,2.147758865E1,4.225925922E0
1.165705000E0,-4.172782135E1,2.168296814E1,3.796680450E0
1.266197000E0,-4.178244781E1,2.185190964E1,3.948818684E0
1.366690000E0,-4.181274414E1,2.181023598E1,4.020195961E0
1.467182000E0,-4.182682800E1,2.180228996E1,4.022305965E0
1.567674000E0,-4.169663239E1,2.173688126E1,4.037213802E0
1.668165000E0,-4.174348831E1,2.186707306E1,4.227779865E0
1.768657000E0,-4.171895218E1,2.179683685E1,3.841937065E0
1.869149667E0,-4.167089081E1,2.167550659E1,4.119380474E0
1.969641667E0,-4.165297699E1,2.164990997E1,4.005113125E0
2.070133667E0,-4.178916168E1,2.177973557E1,4.187540531E0
2.170625667E0,-4.180218506E1,2.188821411E1,3.997899532E0
2.271117667E0,-4.174001312E1,2.179179764E1,3.962456226E0
2.371609667E0,-4.181388092E1,2.178503799E1,3.790269375E0
2.472101667E0,-4.181579971E1,2.174696350E1,3.797995090E0
2.572593667E0,-4.182278061E1,2.192124939E1,3.787011623E0
2.673084667E0,-4.174501801E1,2.176214981E1,3.714559555E0
2.773576667E0,-4.175456238E1,2.185486984E1,3.849570751E0
2.874068542E0,-4.175234985E1,2.180612564E1,3.931635380E0
2.974560542E0,-4.184883499E1,2.185057831E1,3.879171848E0
3.075051542E0,-4.181746674E1,2.190055656E1,3.699716091E0
3.175543542E0,-4.188457870E1,2.184601021E1,3.895453930E0
3.276035542E0,-4.175404739E1,2.182638931E1,3.716318130E0
3.376526542E0,-4.183782196E1,2.181082153E1,3.826467514E0
3.477018542E0,-4.185051727E1,2.189834595E1,3.856493473E0
3.577510542E0,-4.177396393E1,2.190613174E1,3.936889172E0
3.678001542E0,-4.176304245E1,2.177546310E1,3.867989540E0
3.778493542E0,-4.174262619E1,2.176626587E1,4.035004616E0
3.878984292E0,-4.182292175E1,2.159939575E1,3.951344490E0
3.979476292E0,-4.170933151E1,2.156718445E1,3.947557926E0
