"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.535999990E-3,2.517766762E1,-6.280175209E0,-4.234851837E1
1.130462083E-1,2.510394859E1,-6.251966476E0,-4.235645294E1
2.185582083E-1,2.517775154E1,-6.392665863E0,-4.214916992E1
3.240692083E-1,2.518943596E1,-6.489834785E0,-4.233020782E1
4.295802083E-1,2.501497078E1,-6.225319862E0,-4.234164429E1
5.350922083E-1,2.504000664E1,-6.300561905E0,-4.233084869E1
6.406032083E-1,2.510153389E1,-6.269945145E0,-4.241334534E1
7.461142083E-1,2.524084663E1,-6.273647308E0,-4.227623749E1
8.516252083E-1,2.504747963E1,-6.311836243E0,-4.218548584E1
9.571362083E-1,2.505397606E1,-6.277306557E0,-4.242734528E1
1.062651958E0,2.504965019E1,-6.207762718E0,-4.210833740E1
1.168162958E0,2.491129112E1,-6.170645714E0,-4.205735016E1
1.273673958E0,2.497783089E1,-6.033951759E0,-4.227001190E1
1.379184958E0,2.499666405E1,-6.157648087E0,-4.209072876E1
1.484695958E0,2.497619820E1,-6.170802116E0,-4.234538269E1
1.590206958E0,2.501498222E1,-6.249981880E0,-4.234511566E1
1.695717958E0,2.506292534E1,-6.234362602E0,-4.255789185E1
1.801228958E0,2.492753029E1,-6.327983856E0,-4.248336029E1
1.906740958E0,2.502237892E1,-6.174673080E0,-4.256402588E1
2.012251958E0,2.500592232E1,-6.160299301E0,-4.245117950E1
2.117759208E0,2.497862434E1,-6.146281242E0,-4.232839203E1
2.223270208E0,2.493563652E1,-6.153899193E0,-4.227827454E1
2.328781208E0,2.505155754E1,-6.232936859E0,-4.262615967E1
2.434292208E0,2.489657402E1,-6.177853584E0,-4.267467499E1
2.539803208E0,2.505392265E1,-6.181373596E0,-4.244209290E1
2.645314208E0,2.502412605E1,-6.212415695E0,-4.227569580E1
2.750825208E0,2.505074883E1,-6.223401070E0,-4.243931580E1
2.856336208E0,2.511854362E1,-6.253251076E0,-4.219154358E1
2.961847208E0,2.507991982E1,-6.299425125E0,-4.196178436E1
3.067364083E0,2.500522041E1,-6.232705116E0,-4.198173523E1
3.172875083E0,2.504331017E1,-6.205694199E0,-4.199686432E1
3.278386083E0,2.493451500E1,-6.113589287E0,-4.209638214E1
3.383897083E0,2.494887352E1,-6.216286659E0,-4.222129059E1
3.489408083E0,2.492494011E1,-6.369787216E0,-4.235619354E1
3.594919083E0,2.491090584E1,-6.217716217E0,-4.234902954E1
3.700429083E0,2.505602837E1,-6.316794395E0,-4.243202972E1
3.805940083E0,2.498002434E1,-6.215486526E0,-4.251017761E1
3.911451083E0,2.489906120E1,-6.215505600E0,-4.208654785E1
4.016962083E0,2.486317635E1,-6.310420036E0,-4.232197571E1
