"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.763700002E-2,9.802365875E0,7.035369873E-3,5.977070618E-1
1.281390000E-1,9.805509338E0,9.580078125E-3,5.836363220E-1
2.286410000E-1,9.798623657E0,5.538482666E-3,5.990542603E-1
3.291420000E-1,9.806557159E0,-2.095642090E-3,5.854325867E-1
4.296440000E-1,9.796528015E0,7.035369873E-3,5.769003296E-1
5.301460000E-1,9.810149689E0,1.182540894E-2,5.926176453E-1
6.306480000E-1,9.798623657E0,4.490661621E-4,5.932164001E-1
7.311496250E-1,9.793534241E0,-8.981323242E-4,5.932164001E-1
8.316506250E-1,9.814191284E0,5.538482666E-3,5.923182678E-1
9.321526250E-1,9.795480194E0,-2.544708252E-3,6.132746887E-1
1.032654625E0,9.798473969E0,5.987548828E-3,5.938151550E-1
1.133156625E0,9.802066498E0,3.592529297E-3,5.858816528E-1
1.233658625E0,9.797276459E0,5.388793945E-3,5.972579956E-1
1.334159625E0,9.803862762E0,3.293151855E-3,6.129753113E-1
1.434661625E0,9.799671478E0,7.933502197E-3,6.098318481E-1
1.535163625E0,9.790839844E0,6.586303711E-3,5.927673340E-1
1.635665625E0,9.797276459E0,4.939727783E-3,6.191125488E-1
1.736170250E0,9.803413696E0,4.340972900E-3,6.140231323E-1
1.836672250E0,9.801168365E0,4.191284180E-3,6.117778015E-1
1.937173250E0,9.800120544E0,1.646575928E-3,6.104306030E-1
2.037674250E0,9.802365875E0,1.496887207E-3,6.072871399E-1
2.138175250E0,9.796228638E0,1.242416382E-2,6.135740662E-1
2.238676250E0,9.804760895E0,1.646575928E-3,5.966592407E-1
2.339178250E0,9.807006226E0,-1.496887207E-3,5.879772949E-1
2.439679250E0,9.794731750E0,7.334747314E-3,5.789959717E-1
2.540180250E0,9.795031128E0,-1.047821045E-3,5.959107971E-1
2.640681250E0,9.793085175E0,6.286926270E-3,5.825885010E-1
2.741182000E0,9.794881439E0,4.340972900E-3,5.824388123E-1
2.841684000E0,9.798923035E0,-0.000000000E0,5.918692017E-1
2.942185000E0,9.798623657E0,-2.095642090E-3,6.011499023E-1
3.042686000E0,9.802964630E0,1.017883301E-2,5.792953491E-1
3.143187000E0,9.797725525E0,-9.580078125E-3,5.866300964E-1
3.243689000E0,9.808353424E0,-9.580078125E-3,5.869294739E-1
3.344190000E0,9.792486420E0,1.646575928E-3,5.930667114E-1
3.444691000E0,9.786648560E0,6.286926270E-3,5.848338318E-1
3.545193000E0,9.791737976E0,2.395019531E-3,5.739065552E-1
3.645694000E0,9.800868988E0,4.790039062E-3,5.851332092E-1
3.746196125E0,9.789193268E0,7.334747314E-3,6.011499023E-1
3.846697125E0,9.804910583E0,2.245330811E-3,5.866300964E-1
3.947199125E0,9.794731750E0,8.083190918E-3,5.857319641E-1
4.047700125E0,9.798324280E0,6.436614990E-3,5.878276062E-1
4.148202125E0,9.806108093E0,2.844085693E-3,5.957611084E-1
4.248703125E0,9.801168365E0,6.586303711E-3,5.761518860E-1
4.349205125E0,9.803264008E0,1.122665405E-2,5.785469055E-1
4.449706125E0,9.798174591E0,1.496887207E-3,6.032455444E-1
4.550208125E0,9.802066498E0,3.442840576E-3,5.837860107E-1
4.650709125E0,9.796977081E0,9.131011963E-3,5.863307190E-1
4.751207250E0,9.804162140E0,5.089416504E-3,5.942642212E-1
4.851708250E0,9.803713074E0,-5.987548828E-3,5.938151550E-1
4.952210250E0,9.793683929E0,7.484436035E-4,5.843847656E-1
5.052712250E0,9.784852295E0,6.137237549E-3,5.677693176E-1
5.153213250E0,9.805060272E0,-1.496887207E-4,6.122268677E-1
5.253715250E0,9.796677704E0,4.041595459E-3,6.102809143E-1
5.354217250E0,9.808952179E0,4.939727783E-3,5.830375671E-1
5.454718250E0,9.793534241E0,4.340972900E-3,5.854325867E-1
5.555220250E0,9.792785797E0,1.047821045E-3,5.816903687E-1
5.655722250E0,9.800120544E0,3.293151855E-3,6.150709534E-1
5.756228000E0,9.807305603E0,2.844085693E-3,6.001020813E-1
5.856729000E0,9.803563385E0,9.879455566E-3,5.908213806E-1
5.957231000E0,9.800868988E0,2.544708252E-3,5.918692017E-1
6.057733000E0,9.801617432E0,3.742218018E-3,5.914201355E-1
6.158234000E0,9.796228638E0,9.131011963E-3,5.878276062E-1
6.258736000E0,9.798024902E0,4.939727783E-3,5.801934814E-1
6.359238000E0,9.792935486E0,-1.646575928E-3,5.956114197E-1
6.459740000E0,9.814041595E0,1.347198486E-3,5.875282288E-1
6.560242000E0,9.814640350E0,1.631607056E-2,5.966592407E-1
6.660743000E0,9.803264008E0,3.143463135E-3,6.005511475E-1
6.761242000E0,9.800719299E0,1.047821045E-2,6.057902527E-1
6.861744000E0,9.796677704E0,-8.981323242E-4,5.851332092E-1
6.962246000E0,9.798923035E0,4.490661621E-3,5.840853882E-1
7.062748000E0,9.795929260E0,-3.143463135E-3,5.900729370E-1
7.163250000E0,9.806557159E0,3.742218018E-3,5.896238708E-1
7.263751000E0,9.796528015E0,1.496887207E-4,5.909710693E-1
7.364253000E0,9.798024902E0,5.089416504E-3,6.029461670E-1
