"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,-2.096214104E1,-1.032827377E0,-3.952808380E1,4.475430145E1
1.004900000E-2,-2.096746635E1,-1.051794052E0,-3.961018372E1,4.482976210E1
2.009899999E-2,-2.097286224E1,-1.077627182E0,-3.963274384E1,4.485283285E1
3.014799999E-2,-2.092967224E1,-1.188860893E0,-3.959754181E1,4.480435121E1
4.019800000E-2,-2.092575073E1,-1.160721779E0,-3.955524445E1,4.476440195E1
5.024700001E-2,-2.087065697E1,-1.257528305E0,-3.940663147E1,4.460995745E1
6.029699999E-2,-2.086713791E1,-1.392352104E0,-3.912820435E1,4.436656922E1
7.034599999E-2,-2.078287888E1,-1.392157555E0,-3.888430786E1,4.411185277E1
8.039600000E-2,-2.070407867E1,-1.478993416E0,-3.849947357E1,4.373849289E1
9.044500001E-2,-2.070790291E1,-1.428169250E0,-3.844589996E1,4.369146523E1
1.004950000E-1,-2.081051064E1,-1.311399460E0,-3.891578674E1,4.415014812E1
1.105440000E-1,-2.088045120E1,-1.257130623E0,-3.921895599E1,4.444884846E1
1.205940000E-1,-2.094377136E1,-1.258659363E0,-3.918070984E1,4.444495253E1
1.306430000E-1,-2.090088081E1,-1.261671066E0,-3.926343536E1,4.449782005E1
1.406930000E-1,-2.087559700E1,-1.300297737E0,-3.925638580E1,4.448084026E1
1.507420000E-1,-2.084523773E1,-1.382223129E0,-3.923083496E1,4.444651717E1
1.607920000E-1,-2.085244751E1,-1.355010033E0,-3.920109558E1,4.442281524E1
1.708410000E-1,-2.086046982E1,-1.301012993E0,-3.918010712E1,4.440644806E1
1.808910000E-1,-2.089501953E1,-1.206962585E0,-3.918223572E1,4.442191121E1
1.909400000E-1,-2.089608765E1,-1.173219681E0,-3.912428284E1,4.437040039E1
2.009900000E-1,-2.090526581E1,-1.168266296E0,-3.922277069E1,4.446145213E1
2.110400000E-1,-2.093314934E1,-1.172172546E0,-3.942100525E1,4.464959557E1
