"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-4.816858673E1,3.072492218E1,8.111001968E0
1.005010000E-1,-4.834240341E1,3.069223595E1,8.249524117E0
2.010030000E-1,-4.820783997E1,3.057314873E1,8.530690193E0
3.015050000E-1,-4.825708008E1,3.056203651E1,8.322498322E0
4.020070000E-1,-4.838813019E1,3.080762863E1,8.290880203E0
5.025080000E-1,-4.836032867E1,3.069274902E1,8.383066177E0
6.030100000E-1,-4.833489227E1,3.056148338E1,8.434023857E0
7.035116250E-1,-4.844210815E1,3.066802597E1,8.238084793E0
8.040136250E-1,-4.840395355E1,3.050211716E1,8.052875519E0
9.045156250E-1,-4.834661865E1,3.052547073E1,8.251789093E0
1.005017625E0,-4.840550613E1,3.060399055E1,8.230541229E0
1.105518625E0,-4.842325211E1,3.057315063E1,8.318615913E0
1.206020625E0,-4.865090561E1,3.075076103E1,7.994588852E0
1.306522625E0,-4.874987793E1,3.087693787E1,8.033747673E0
1.407024625E0,-4.876909256E1,3.090583038E1,7.813402176E0
1.507526625E0,-4.850778198E1,3.094019508E1,8.141141891E0
1.608027625E0,-4.842577362E1,3.123481369E1,8.128650665E0
1.708533250E0,-4.867744064E1,3.127710915E1,8.142910957E0
1.809034250E0,-4.898448181E1,3.121040535E1,8.192083359E0
1.909536250E0,-4.903779602E1,3.138363838E1,8.544525146E0
2.010037250E0,-4.923135757E1,3.139188194E1,8.942210197E0
2.110538250E0,-4.919689178E1,3.130963135E1,8.758331299E0
2.211039250E0,-4.924585342E1,3.134150887E1,8.739443779E0
2.311540250E0,-4.916164017E1,3.098688507E1,8.598776817E0
2.412042250E0,-4.903454208E1,3.109393120E1,8.499221802E0
2.512543250E0,-4.920166779E1,3.119735527E1,8.536696434E0
2.613044250E0,-4.980923080E1,3.116805840E1,8.382175446E0
2.713545000E0,-4.984375381E1,3.104339981E1,8.402215004E0
2.814046000E0,-4.916625214E1,3.089590645E1,8.620779991E0
2.914548000E0,-4.832127762E1,3.088172531E1,8.516326904E0
3.015049000E0,-4.783633423E1,3.098657417E1,8.095388412E0
3.115550000E0,-4.770809555E1,3.126856422E1,7.893041611E0
3.216051000E0,-4.761264420E1,3.121833420E1,7.755540371E0
3.316553000E0,-4.771160889E1,3.130751610E1,7.523429871E0
3.417054000E0,-4.758977509E1,3.110512924E1,7.616608143E0
3.517555000E0,-4.768948364E1,3.125671005E1,7.563794613E0
3.618057000E0,-4.770988846E1,3.130925941E1,7.739636421E0
3.718558125E0,-4.756075287E1,3.130159760E1,7.733281136E0
3.819060125E0,-4.767628479E1,3.131223869E1,7.781858921E0
3.919561125E0,-4.755548477E1,3.119546318E1,7.791886330E0
4.020063125E0,-4.765628052E1,3.122731590E1,7.872757912E0
4.120564125E0,-4.769926834E1,3.126023674E1,7.833803177E0
4.221066125E0,-4.765296936E1,3.121072006E1,7.854245663E0
4.321567125E0,-4.768894196E1,3.125368690E1,7.869010925E0
4.422069125E0,-4.769909286E1,3.130465126E1,8.094653130E0
4.522570125E0,-4.761130905E1,3.110231209E1,8.157687187E0
4.623072125E0,-4.760722733E1,3.123707962E1,8.257321358E0
4.723569250E0,-4.754843903E1,3.138752365E1,8.374196053E0
4.824071250E0,-4.754829407E1,3.136081123E1,8.508443832E0
4.924573250E0,-4.750518417E1,3.148118782E1,8.777989388E0
5.025074250E0,-4.753823090E1,3.146128464E1,9.054150581E0
5.125576250E0,-4.747308731E1,3.133135033E1,9.011910439E0
5.226078250E0,-4.753093338E1,3.124247169E1,9.217735291E0
5.326579250E0,-4.758905411E1,3.124337578E1,9.255764008E0
5.427081250E0,-4.779411316E1,3.114468384E1,9.055068016E0
