"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.415899999E-2,-4.349353027E1,2.282660294E1,7.943472862E-1
1.846470000E-1,-4.314889145E1,2.277125359E1,2.087993145E0
2.851360000E-1,-4.297210693E1,2.242747307E1,1.695290565E0
3.856240000E-1,-4.308871460E1,2.226916885E1,1.508310318E0
4.861130000E-1,-4.305984879E1,2.193634796E1,1.848618507E0
5.866010000E-1,-4.320526886E1,2.209046173E1,1.220593452E0
6.870893750E-1,-4.322916412E1,2.220057869E1,1.356232166E0
7.875783750E-1,-4.309188843E1,2.207916260E1,1.583546162E0
8.880663750E-1,-4.307990265E1,2.199610519E1,1.973599434E0
9.885553750E-1,-4.305887604E1,2.182835770E1,1.568211555E0
1.089043375E0,-4.317657089E1,2.208860207E1,1.501616001E0
1.189532375E0,-4.316095734E1,2.209508896E1,1.636032104E0
1.290020375E0,-4.323558807E1,2.216880798E1,1.869302750E0
1.390509375E0,-4.328530121E1,2.217854691E1,1.815488338E0
1.490997375E0,-4.318943024E1,2.211465073E1,2.043801308E0
1.591486375E0,-4.323746490E1,2.203337860E1,1.878812790E0
1.691976292E0,-4.324172211E1,2.206593704E1,1.622567177E0
1.792465292E0,-4.318048096E1,2.203565979E1,1.521425724E0
1.892953292E0,-4.316130829E1,2.191604996E1,1.737209320E0
1.993442292E0,-4.313724518E1,2.202046204E1,1.847909927E0
2.093930292E0,-4.318897629E1,2.221100235E1,1.487551212E0
2.194419292E0,-4.327253723E1,2.222808075E1,1.448310375E0
2.294907292E0,-4.331193542E1,2.217565536E1,1.377263546E0
2.395396292E0,-4.320547485E1,2.195425987E1,1.780993462E0
2.495884292E0,-4.312965393E1,2.215240479E1,1.807539940E0
2.596373292E0,-4.313722610E1,2.196037483E1,1.745478153E0
2.696858875E0,-4.323339462E1,2.232693672E1,1.419695377E0
2.797347875E0,-4.331541824E1,2.218692207E1,1.321051598E0
2.897835875E0,-4.319933701E1,2.207696915E1,1.890075207E0
2.998324875E0,-4.315863037E1,2.210002136E1,1.993479729E0
3.098812875E0,-4.318809509E1,2.208469009E1,1.436790466E0
3.199301875E0,-4.330689621E1,2.227285004E1,1.322472572E0
3.299789875E0,-4.333003998E1,2.224410629E1,1.556066513E0
3.400278875E0,-4.317881775E1,2.209440994E1,1.849329472E0
3.500766875E0,-4.320837402E1,2.241296768E1,1.687911034E0
3.601255875E0,-4.315017700E1,2.217739487E1,1.925558090E0
3.701744875E0,-4.312468338E1,2.214872360E1,1.771852493E0
3.802233875E0,-4.312385941E1,2.213875961E1,1.501221180E0
3.902721875E0,-4.296054840E1,2.208034515E1,1.897521496E0
4.003210875E0,-4.305720520E1,2.204379272E1,1.744626045E0
4.103698875E0,-4.307363129E1,2.222834778E1,1.877068520E0
4.204186875E0,-4.313373566E1,2.199835014E1,1.727981567E0
4.304675875E0,-4.319937515E1,2.193676567E1,1.815464497E0
4.405163875E0,-4.303020477E1,2.207007599E1,2.026710033E0
4.505652875E0,-4.309408951E1,2.187686920E1,1.908989906E0
4.606140875E0,-4.316848755E1,2.211839294E1,1.812989235E0
4.706629000E0,-4.313520432E1,2.193708038E1,1.721292973E0
4.807117000E0,-4.306632614E1,2.191474724E1,1.772245884E0
4.907606000E0,-4.300845718E1,2.194283295E1,1.761672497E0
5.008094000E0,-4.306270218E1,2.194364548E1,1.660426617E0
5.108583000E0,-4.311326218E1,2.210898209E1,1.712764740E0
5.209071000E0,-4.310327911E1,2.197010040E1,1.567428112E0
5.309560000E0,-4.311424255E1,2.207859993E1,1.456645012E0
5.410048000E0,-4.317407990E1,2.210077858E1,1.669136047E0
5.510537000E0,-4.317543030E1,2.200886536E1,1.706708431E0
5.611025000E0,-4.316214752E1,2.219779205E1,1.436276436E0
5.711514542E0,-4.315432358E1,2.220867538E1,1.608850002E0
5.812002542E0,-4.316696167E1,2.208927917E1,1.520329952E0
5.912491542E0,-4.312828064E1,2.221590042E1,1.337070942E0
6.012979542E0,-4.315897369E1,2.227872467E1,1.470837116E0
6.113468542E0,-4.318745422E1,2.212841606E1,1.467403412E0
6.213956542E0,-4.321514893E1,2.220286179E1,1.509750366E0
6.314445542E0,-4.316557693E1,2.230753708E1,1.554157257E0
6.414933542E0,-4.318304443E1,2.228018951E1,1.755244255E0
