"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,2.003915596E1,-5.736894608E-1,-4.206898499E1,4.660146338E1
1.005000001E-2,1.997345352E1,-5.941467285E-1,-4.208303833E1,4.658619936E1
2.009900002E-2,1.999837303E1,-6.584348679E-1,-4.200097656E1,4.652365519E1
3.014799999E-2,1.992291832E1,-6.736211777E-1,-4.192478943E1,4.642267128E1
4.019699999E-2,1.997003937E1,-6.200122833E-1,-4.185879517E1,4.638260040E1
5.024700001E-2,1.994534302E1,-5.680875778E-1,-4.175159454E1,4.627456189E1
6.029600001E-2,2.000181389E1,-6.273307800E-1,-4.159062195E1,4.615458739E1
7.034500001E-2,2.003848457E1,-6.971998215E-1,-4.145701599E1,4.605117943E1
8.039400002E-2,2.001431847E1,-7.552480698E-1,-4.141592407E1,4.600458792E1
9.044400000E-2,2.010926247E1,-8.087844849E-1,-4.127004242E1,4.591571594E1
1.004930000E-1,2.015167809E1,-8.260087967E-1,-4.122859192E1,4.589737696E1
1.105420000E-1,2.015674019E1,-7.208995819E-1,-4.139472961E1,4.604712272E1
1.205910000E-1,2.012185097E1,-7.275314331E-1,-4.148035431E1,4.610897941E1
1.306410000E-1,2.014739799E1,-7.026195526E-1,-4.146915436E1,4.610967451E1
1.406900000E-1,2.012397575E1,-6.936407089E-1,-4.152451324E1,4.614911416E1
1.507390000E-1,2.006219292E1,-6.778774261E-1,-4.168609619E1,4.626750175E1
1.607880000E-1,2.000144768E1,-6.478366852E-1,-4.185292053E1,4.639121208E1
1.708380000E-1,2.003403282E1,-6.447124481E-1,-4.192776489E1,4.647274033E1
1.808870000E-1,2.004850578E1,-6.645307541E-1,-4.181394196E1,4.637660970E1
1.909360000E-1,1.999944115E1,-7.482423782E-1,-4.175532532E1,4.630383035E1
2.009850000E-1,1.999697304E1,-6.992578506E-1,-4.168840790E1,4.624166136E1
2.110350000E-1,1.996700287E1,-5.649671555E-1,-4.180795288E1,4.633470962E1
2.210840000E-1,1.996613693E1,-5.261683464E-1,-4.183287811E1,4.635637139E1
2.311330000E-1,1.993945122E1,-5.041007996E-1,-4.174899292E1,4.626893388E1
2.411820000E-1,2.001576805E1,-4.808349609E-1,-4.165373230E1,4.621575043E1
2.512348333E-1,1.995694923E1,-4.806532860E-1,-4.156809235E1,4.611309089E1
2.612838333E-1,1.994080925E1,-4.546546936E-1,-4.167140198E1,4.619900786E1
2.713328333E-1,1.994530869E1,-3.862671852E-1,-4.174381256E1,4.626565063E1
2.813818333E-1,1.995228767E1,-3.700346947E-1,-4.170977020E1,4.623781612E1
2.914318333E-1,1.992494392E1,-4.138164520E-1,-4.168263245E1,4.620190994E1
3.014808333E-1,1.995662308E1,-4.228820801E-1,-4.185182953E1,4.636832182E1
3.115298333E-1,1.999626350E1,-5.048060417E-1,-4.191269684E1,4.644114059E1
3.215788333E-1,1.999754143E1,-4.810571671E-1,-4.187322235E1,4.640581676E1
3.316288333E-1,2.004612160E1,-5.384950638E-1,-4.178591919E1,4.634867863E1
3.416778333E-1,2.006701088E1,-4.938111305E-1,-4.169995117E1,4.627974398E1
3.517268333E-1,2.005345726E1,-4.744238853E-1,-4.179729462E1,4.636140705E1
3.617758333E-1,1.996623611E1,-4.434390068E-1,-4.182328033E1,4.634688771E1
3.718258333E-1,1.994615936E1,-4.803915024E-1,-4.192304230E1,4.642867137E1
3.818748333E-1,1.997912216E1,-4.361648560E-1,-4.184587860E1,4.637276267E1
3.919238333E-1,2.004862785E1,-4.844884872E-1,-4.183763123E1,4.639579285E1
4.019728334E-1,2.005135918E1,-5.531606674E-1,-4.184494781E1,4.640433869E1
4.120228333E-1,2.001188850E1,-5.056371689E-1,-4.177458191E1,4.632328836E1
4.220718333E-1,2.006255150E1,-5.423793793E-1,-4.168195343E1,4.626213776E1
4.321208333E-1,2.010265541E1,-5.663948059E-1,-4.170729065E1,4.630265274E1
4.421698333E-1,2.009807777E1,-5.548362732E-1,-4.181458282E1,4.639719722E1
4.522198333E-1,2.004304314E1,-5.628118515E-1,-4.179267883E1,4.635373059E1
4.622688333E-1,2.007552147E1,-5.812158585E-1,-4.178719330E1,4.636306610E1
4.723178333E-1,2.008212471E1,-5.645017624E-1,-4.180599213E1,4.638266242E1
4.823668333E-1,2.001663780E1,-5.465364456E-1,-4.169335175E1,4.625256826E1
