"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.227106600E1,-7.180672124E1,1.531583061E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.535940886E-1,4.227106288E1,-7.180681036E1,1.531583443E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.936594009E0,4.227106442E1,-7.180676570E1,1.531577950E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.194281709E1,4.227106807E1,-7.180676107E1,1.531579094E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.794336700E1,4.227105829E1,-7.180674952E1,1.531576042E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.394272304E1,4.227112842E1,-7.180684235E1,1.531582794E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.994699001E1,4.227110852E1,-7.180678354E1,1.531582451E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.595010805E1,4.227107466E1,-7.180670729E1,1.531580353E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.195132506E1,4.227106833E1,-7.180674163E1,1.531580696E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.793551302E1,4.227106580E1,-7.180678732E1,1.531581078E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.393268001E1,4.227106377E1,-7.180677609E1,1.531581535E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.993133903E1,4.227105643E1,-7.180671164E1,1.531581993E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.593436801E1,4.227106230E1,-7.180674031E1,1.531582222E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.193128109E1,4.227106439E1,-7.180676050E1,1.531582527E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.793196511E1,4.227105636E1,-7.180670271E1,1.531582909E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.394338703E1,4.227106020E1,-7.180673064E1,1.531583138E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.993981707E1,4.227106415E1,-7.180670809E1,1.531583405E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.594666004E1,4.227107148E1,-7.180676777E1,1.531583443E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.019602680E2,4.227107812E1,-7.180685387E1,1.531583519E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.079309111E2,4.227107712E1,-7.180675292E1,1.531583900E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.139385711E2,4.227107233E1,-7.180669300E1,1.531584091E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.199278960E2,4.227106536E1,-7.180668625E1,1.531584167E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
