"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.190631167E0,-2.672456741E0,-1.444838905E1,-4.485766983E1
9.291130417E0,-2.166460037E0,-1.422946167E1,-4.524088669E1
9.391630417E0,-2.459817886E0,-1.457931709E1,-4.487836838E1
9.492130417E0,-2.531543732E0,-1.625664520E1,-4.430015945E1
9.592630417E0,-2.523586273E0,-1.740233612E1,-4.387762451E1
9.693130417E0,-2.290391922E0,-1.723071289E1,-4.380550766E1
9.793629417E0,-1.999753952E0,-1.669005013E1,-4.403557968E1
9.894129417E0,-1.831546783E0,-1.468189049E1,-4.506020355E1
9.994628417E0,-2.181659698E0,-1.564642334E1,-4.472859573E1
1.009512842E1,-1.644947052E0,-1.652256966E1,-4.392848969E1
1.019562742E1,-8.074970245E-1,-1.590732765E1,-4.410176086E1
1.029612363E1,8.479251862E-1,-1.462423134E1,-4.433247757E1
1.039662263E1,1.089305878E0,-1.460642624E1,-4.367292404E1
1.049712162E1,2.085748672E0,-1.458489609E1,-4.302363205E1
1.059762062E1,2.396121979E0,-1.377430916E1,-4.305392456E1
1.069811962E1,2.762832642E0,-1.390675163E1,-4.311529922E1
1.079861862E1,2.151302338E0,-1.424837875E1,-4.303261948E1
1.089911763E1,1.196907043E0,-1.411823082E1,-4.368548203E1
1.099961663E1,-1.240537643E0,-1.612765121E1,-4.362630081E1
1.110011563E1,-1.899959564E0,-1.552443695E1,-4.422754288E1
1.120061463E1,-2.458848953E0,-1.581521416E1,-4.456682968E1
1.130111337E1,-2.690816879E0,-1.606419754E1,-4.473153687E1
1.140161237E1,-2.925106049E0,-1.631605721E1,-4.465930557E1
1.150211137E1,-3.743698120E0,-1.730041885E1,-4.491425705E1
1.160261137E1,-3.527740479E0,-1.719155121E1,-4.518012619E1
1.170311037E1,-3.048746109E0,-1.688823318E1,-4.535149384E1
1.180360938E1,-3.320442200E0,-1.734131050E1,-4.522713089E1
1.190410938E1,-3.050128937E0,-1.727968216E1,-4.559127426E1
1.200460838E1,-3.145208359E0,-1.823854065E1,-4.573227692E1
1.210510838E1,-3.601581573E0,-1.934914398E1,-4.578849792E1
1.220560738E1,-4.919241905E0,-2.086350250E1,-4.563695908E1
1.230610692E1,-4.857572556E0,-2.136690712E1,-4.580278397E1
1.240660592E1,-5.395900726E0,-2.250560951E1,-4.507027054E1
1.250710592E1,-6.037478447E0,-2.356174469E1,-4.441352463E1
1.260760492E1,-6.378751755E0,-2.348069382E1,-4.452777100E1
1.270810492E1,-6.744530678E0,-2.329999352E1,-4.463460922E1
1.280860392E1,-7.056523323E0,-2.158800125E1,-4.547703171E1
1.290910392E1,-7.822993279E0,-2.301184464E1,-4.465875244E1
1.300960392E1,-7.905398369E0,-2.364239502E1,-4.454821777E1
1.311010392E1,-8.770830154E0,-2.384796524E1,-4.409396744E1
1.321060292E1,-9.381889343E0,-2.491162491E1,-4.351042938E1
1.331110404E1,-9.612607956E0,-2.470769119E1,-4.332109070E1
1.341160404E1,-1.078245640E1,-2.304662323E1,-4.382411957E1
1.351210404E1,-1.220217896E1,-2.234510422E1,-4.309962082E1
1.361260304E1,-1.150037861E1,-1.922124290E1,-4.467905426E1
1.371310304E1,-1.158422184E1,-1.774278641E1,-4.549260330E1
1.381360304E1,-1.423507118E1,-1.679630661E1,-4.440834045E1
1.391410304E1,-1.196653557E1,-1.407531929E1,-4.541491699E1
1.401460304E1,-1.020475197E1,-1.148956966E1,-4.609834290E1
1.411510304E1,-8.581939697E0,-1.177479839E1,-4.688806534E1
1.421560304E1,-3.581106186E0,-9.589804649E0,-4.667480469E1
1.431610225E1,4.585418701E-1,-7.466565132E0,-4.535408401E1
1.441660225E1,3.485395432E0,-6.812664986E0,-4.320505142E1
1.451710225E1,5.294136047E0,-8.467150688E0,-3.807260132E1
1.461760225E1,2.454320908E0,-1.047510910E1,-3.953954697E1
1.471810325E1,1.855312347E0,-1.151910400E1,-4.071407700E1
1.481860325E1,1.621345520E0,-1.149979496E1,-4.092183685E1
1.491910325E1,5.512809753E-1,-1.200670242E1,-4.102990723E1
1.501960325E1,-6.556625366E-1,-1.237646008E1,-4.083078003E1
1.512010325E1,-1.799488068E-1,-1.259389496E1,-4.086612701E1
1.522060425E1,4.230575562E-1,-1.158112049E1,-4.131386566E1
1.532110417E1,3.318519592E-1,-1.192061615E1,-4.104581833E1
1.542160417E1,9.783344269E-1,-1.221784306E1,-4.077957916E1
1.552210517E1,1.776132584E0,-1.288284779E1,-4.013405991E1
1.562260517E1,3.331787109E0,-1.332008457E1,-4.002356720E1
1.572310517E1,3.238670349E0,-1.498573875E1,-3.940919876E1
1.582360617E1,2.632539749E0,-1.549782562E1,-4.008178711E1
1.592410617E1,1.315853119E0,-1.599930763E1,-4.061000824E1
1.602460717E1,1.239065170E0,-1.526788712E1,-4.143328476E1
1.612510717E1,9.525375366E-1,-1.594682312E1,-4.136233139E1
1.622560817E1,9.492111206E-1,-1.707291031E1,-4.112729645E1
1.632610850E1,1.555845261E0,-1.820415878E1,-4.080224991E1
1.642660950E1,1.888296127E0,-1.898451233E1,-4.083445740E1
1.652710950E1,2.297937393E0,-1.911736870E1,-4.099782181E1
1.662761050E1,3.491073608E0,-1.897295189E1,-4.076409531E1
1.672811050E1,4.747514725E0,-1.908867455E1,-4.059893036E1
1.682861150E1,5.300752640E0,-1.966220474E1,-4.034155273E1
1.692911150E1,4.844913483E0,-2.013685226E1,-4.034082031E1
