"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.865042114E-1,-2.133064270E-1,9.780960388E0
1.005050000E-1,-2.862048340E-1,-2.047741699E-1,9.802066498E0
2.010090000E-1,-2.863545227E-1,-2.109114075E-1,9.788444824E0
3.015140000E-1,-2.887495422E-1,-2.133064270E-1,9.776769104E0
4.020190000E-1,-2.866539001E-1,-2.097138977E-1,9.811047821E0
5.025240000E-1,-2.875520325E-1,-2.148033142E-1,9.789193268E0
6.030280000E-1,-2.752775574E-1,-2.209405518E-1,9.790540466E0
7.035328750E-1,-2.809657288E-1,-2.115101624E-1,9.793384552E0
8.040378750E-1,-2.947370911E-1,-2.071691895E-1,9.768386536E0
9.045428750E-1,-2.888992310E-1,-2.151026917E-1,9.790390778E0
1.005046875E0,-2.815644836E-1,-2.076182556E-1,9.785001984E0
1.105551875E0,-2.921923828E-1,-2.152523804E-1,9.795480194E0
1.206056875E0,-2.851570129E-1,-2.128573608E-1,9.785900116E0
1.306560875E0,-2.859054565E-1,-2.183958435E-1,9.787846069E0
1.407065875E0,-2.797682190E-1,-2.113604736E-1,9.805808716E0
1.507570875E0,-2.784210205E-1,-2.103126526E-1,9.796378326E0
1.608074875E0,-2.782713318E-1,-2.115101624E-1,9.785001984E0
1.708579625E0,-2.847079468E-1,-2.131567383E-1,9.792037354E0
1.809084625E0,-2.954855347E-1,-2.207908630E-1,9.805359650E0
1.909588625E0,-2.805166626E-1,-2.017803955E-1,9.788744202E0
2.010093625E0,-2.902464294E-1,-2.203417969E-1,9.785900116E0
2.110598625E0,-2.883004761E-1,-2.233355713E-1,9.781858521E0
2.211102625E0,-2.969824219E-1,-2.149530029E-1,9.776469727E0
2.311607625E0,-2.812651062E-1,-2.023791504E-1,9.780361633E0
2.412111625E0,-2.856060791E-1,-2.064207458E-1,9.784852295E0
2.512616625E0,-2.887495422E-1,-2.119592285E-1,9.800120544E0
2.613121625E0,-2.806663513E-1,-2.064207458E-1,9.794881439E0
2.713624750E0,-2.888992310E-1,-2.077679443E-1,9.785301361E0
2.814129750E0,-2.888992310E-1,-2.128573608E-1,9.790690155E0
2.914633750E0,-2.851570129E-1,-2.074685669E-1,9.793384552E0
3.015138750E0,-2.897973633E-1,-2.095642090E-1,9.792486420E0
3.115642750E0,-2.930905151E-1,-2.109114075E-1,9.790690155E0
3.216147750E0,-2.835104370E-1,-2.142045593E-1,9.789492645E0
3.316652750E0,-2.838098145E-1,-2.077679443E-1,9.812245331E0
