"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.244686500E0,-4.340972900E-3,2.198627930E0,9.549242249E0
9.345171500E0,-2.110610962E-2,2.198927307E0,9.561666412E0
9.445657000E0,-1.916015625E-2,2.207459564E0,9.557026062E0
9.546143000E0,-1.736389160E-2,2.205363922E0,9.546398163E0
9.646628000E0,-1.257385254E-2,2.194736023E0,9.551936646E0
9.747113000E0,-1.631607056E-2,2.210303650E0,9.577084351E0
9.847599000E0,-2.649490356E-2,2.195035400E0,9.542655945E0
9.948084000E0,-2.140548706E-2,2.208806763E0,9.571845245E0
1.004856900E1,-2.140548706E-2,2.198777618E0,9.547445984E0
1.014905500E1,-9.879455566E-3,2.207609253E0,9.544601898E0
1.024954000E1,-1.975891113E-2,2.194137268E0,9.537865906E0
1.035002500E1,-7.933502197E-3,2.195334778E0,9.535321198E0
1.045050987E1,-1.332229614E-2,2.213447113E0,9.555529175E0
1.055099588E1,-1.766326904E-2,2.196681976E0,9.555529175E0
1.065148088E1,-1.272354126E-2,2.196532288E0,9.574689331E0
1.075196588E1,-1.242416382E-2,2.207609253E0,9.545350342E0
1.085245088E1,-1.077758789E-2,2.200723572E0,9.554631042E0
1.095293687E1,-1.092727661E-2,2.195185089E0,9.551786957E0
1.105342187E1,-8.083190918E-3,2.207609253E0,9.573791199E0
1.115390687E1,-2.454895020E-2,2.196083221E0,9.560019836E0
1.125439188E1,-1.287322998E-2,2.199226685E0,9.566007385E0
1.135487788E1,-7.634124756E-3,2.218985596E0,9.579329681E0
1.145536354E1,-1.317260742E-2,2.194137268E0,9.551038513E0
1.155584854E1,-3.921844482E-2,2.204016724E0,9.542805634E0
1.165633354E1,-2.395019531E-3,2.205962677E0,9.592352600E0
1.175681854E1,-2.290237427E-2,2.201322327E0,9.562863922E0
1.185730454E1,-3.891906738E-3,2.229463806E0,9.568103027E0
1.195778954E1,-1.047821045E-2,2.199226685E0,9.558073883E0
1.205827454E1,-2.395019531E-2,2.195634155E0,9.547445984E0
1.215875954E1,-1.437011719E-2,2.213447113E0,9.546697540E0
1.225924454E1,-2.514770508E-2,2.184706879E0,9.524543610E0
1.235973054E1,-8.083190918E-3,2.215991821E0,9.551337891E0
1.246021817E1,-5.388793945E-3,2.212848358E0,9.561965790E0
1.256070317E1,-2.604583740E-2,2.194137268E0,9.567504272E0
1.266118817E1,7.484436035E-4,2.216740265E0,9.571695557E0
1.276167317E1,-1.736389160E-2,2.221380615E0,9.572294312E0
1.286215817E1,-5.089416504E-3,2.208806763E0,9.567354584E0
1.296264317E1,-2.574645996E-2,2.218536530E0,9.568252716E0
1.306312917E1,-2.290237427E-2,2.186952209E0,9.564360809E0
1.316361417E1,-1.287322998E-2,2.208208008E0,9.578880615E0
1.326409917E1,-2.395019531E-3,2.218686218E0,9.559870148E0
1.336458417E1,-2.544708252E-2,2.207459564E0,9.532776489E0
1.346506542E1,-1.032852173E-2,2.208507385E0,9.537865906E0
1.356555042E1,-1.227447510E-2,2.216141510E0,9.559271393E0
1.366603542E1,-1.332229614E-2,2.206262054E0,9.542206879E0
1.376652042E1,-2.110610962E-2,2.213447113E0,9.573491821E0
1.386700542E1,-1.107696533E-2,2.205812988E0,9.553583221E0
1.396749142E1,-1.736389160E-2,2.212698669E0,9.573342133E0
1.406797642E1,-1.856140137E-2,2.200873260E0,9.541608124E0
1.416846142E1,-6.436614990E-3,2.202070770E0,9.574090576E0
1.426894642E1,-2.035766602E-2,2.212099915E0,9.540260925E0
1.436943142E1,-1.287322998E-2,2.200573883E0,9.552236023E0
1.446991704E1,-2.230361938E-2,2.188598785E0,9.542805634E0
1.457040204E1,-2.395019531E-2,2.209255829E0,9.568103027E0
1.467088704E1,-1.766326904E-2,2.202819214E0,9.557475128E0
1.477137204E1,-1.930984497E-2,2.194137268E0,9.555529175E0
1.487185704E1,-1.197509766E-2,2.204615479E0,9.555379486E0
1.497234204E1,-1.451980591E-2,2.203118591E0,9.555978241E0
1.507282704E1,-1.526824951E-2,2.194586334E0,9.556277618E0
1.517331204E1,-4.041595459E-3,2.208507385E0,9.557774506E0
1.527379704E1,-1.631607056E-2,2.207758942E0,9.571096802E0
1.537428204E1,-1.392105103E-2,2.195933533E0,9.567204895E0
1.547476692E1,-2.769241333E-2,2.205962677E0,9.574240265E0
1.557525192E1,-1.182540894E-2,2.207459564E0,9.573491821E0
1.567573692E1,-1.990859985E-2,2.198178864E0,9.547146606E0
1.577622192E1,-1.766326904E-2,2.197879486E0,9.554631042E0
1.587670692E1,-1.601669312E-2,2.200873260E0,9.540859680E0
1.597719192E1,-2.290237427E-2,2.201472015E0,9.565558319E0
1.607767692E1,-1.676513672E-2,2.195933533E0,9.558073883E0
1.617816192E1,-3.218307495E-2,2.199226685E0,9.565558319E0
1.627864692E1,-1.122665405E-2,2.192490692E0,9.535919952E0
1.637913192E1,-1.781295776E-2,2.206262054E0,9.557325439E0
1.647961663E1,-1.841171265E-2,2.210303650E0,9.545799408E0
1.658010163E1,-1.691482544E-2,2.212698669E0,9.551188202E0
1.668058663E1,-1.975891113E-2,2.209255829E0,9.567204895E0
1.678107163E1,-1.272354126E-2,2.218386841E0,9.571994934E0
1.688155663E1,-1.676513672E-2,2.212249603E0,9.584868164E0
1.698204162E1,-1.871109009E-2,2.203717346E0,9.571695557E0
1.708252662E1,-2.754272461E-2,2.202070770E0,9.551786957E0
1.718301162E1,-1.362167358E-2,2.205214233E0,9.552236023E0
1.728349662E1,-2.275268555E-2,2.198478241E0,9.561516724E0
1.738398162E1,-5.987548828E-3,2.207908630E0,9.554930420E0
1.748446750E1,-1.092727661E-2,2.214644623E0,9.558073883E0
1.758495250E1,-1.407073975E-2,2.204166412E0,9.560019836E0
1.768543750E1,-1.167572021E-2,2.211351471E0,9.563312988E0
1.778592250E1,-1.257385254E-2,2.200723572E0,9.561816101E0
1.788640750E1,-1.975891113E-2,2.207459564E0,9.536818085E0
1.798689150E1,-1.437011719E-2,2.208208008E0,9.548793182E0
1.808737650E1,-1.451980591E-2,2.210603027E0,9.556576996E0
1.818786150E1,-1.601669312E-2,2.202070770E0,9.555529175E0
1.828834650E1,-2.140548706E-2,2.205962677E0,9.572593689E0
1.838883150E1,-8.232879639E-3,2.200873260E0,9.561965790E0
1.848931550E1,-1.481918335E-2,2.204316101E0,9.557475128E0
1.858980050E1,-1.601669312E-2,2.204914856E0,9.550290070E0
1.869028550E1,-1.122665405E-2,2.211052094E0,9.557475128E0
1.879077050E1,-2.335144043E-2,2.201022949E0,9.555379486E0
1.889125450E1,-2.365081787E-2,2.210303650E0,9.558672638E0
1.899173950E1,-8.532257080E-3,2.201921082E0,9.557774506E0
1.909222450E1,-1.242416382E-2,2.196981354E0,9.559421082E0
1.919270950E1,-2.948867798E-2,2.202669525E0,9.547445984E0
1.929319450E1,-1.930984497E-2,2.209255829E0,9.545799408E0
1.939367950E1,-1.347198486E-2,2.203118591E0,9.544003143E0
1.949416575E1,-8.382568359E-3,2.211052094E0,9.553583221E0
1.959464975E1,-2.589614868E-2,2.207758942E0,9.555978241E0
1.969513475E1,-5.987548828E-3,2.205962677E0,9.559421082E0
1.979561975E1,-9.430389404E-3,2.207758942E0,9.569599915E0
1.989610475E1,-1.182540894E-2,2.204465790E0,9.563013611E0
1.999658975E1,-1.481918335E-2,2.199226685E0,9.549541626E0
2.009707475E1,-1.616638184E-2,2.207908630E0,9.558672638E0
2.019755975E1,-2.424957275E-2,2.201771393E0,9.539961548E0
2.029804375E1,-1.661544800E-2,2.199226685E0,9.549841003E0
2.039852742E1,-2.529739380E-2,2.199376373E0,9.550739136E0
2.049901242E1,-1.856140137E-2,2.218237152E0,9.554032288E0
2.059949742E1,-1.796264648E-2,2.204465790E0,9.557175751E0
2.069998242E1,-1.736389160E-2,2.195484467E0,9.540111237E0
2.080046742E1,-1.586700439E-2,2.207160187E0,9.532177734E0
2.090095142E1,-2.694396973E-3,2.219434662E0,9.573192444E0
2.100143642E1,-1.616638184E-2,2.198777618E0,9.542206879E0
2.110192142E1,-2.095642090E-2,2.214794312E0,9.554631042E0
2.120240642E1,-1.242416382E-2,2.208956451E0,9.557924194E0
2.130289142E1,-1.721420288E-2,2.201022949E0,9.532626801E0
2.140337937E1,-1.392105103E-2,2.216440887E0,9.593101044E0
2.150386438E1,-9.879455566E-3,2.207609253E0,9.545350342E0
2.160434938E1,-1.601669312E-2,2.203867035E0,9.572144623E0
2.170483438E1,-1.062789917E-2,2.206411743E0,9.567803650E0
2.180531838E1,-1.437011719E-2,2.202968903E0,9.575288086E0
2.190580338E1,-1.047821045E-2,2.196981354E0,9.548493805E0
2.200628838E1,-2.544708252E-2,2.204166412E0,9.552236023E0
2.210677338E1,-1.856140137E-2,2.199226685E0,9.556427307E0
2.220725838E1,-1.811233521E-2,2.201621704E0,9.565109253E0
2.230774238E1,-1.601669312E-2,2.209106140E0,9.564510498E0
2.240822325E1,-2.574645996E-2,2.195783844E0,9.557026062E0
2.250870825E1,-1.437011719E-2,2.198777618E0,9.568851471E0
