"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.773399999E-2,1.201005653E-4,6.794407964E-4,-1.851122361E-4
1.482270000E-1,1.445797272E-3,1.374811400E-3,2.236668952E-4
2.487237500E-1,-2.860515378E-3,-1.445103437E-3,6.750875618E-4
3.492167500E-1,-1.971965656E-3,1.280992292E-4,-1.747154747E-3
4.497097500E-1,-6.685266271E-4,-7.067401893E-4,1.730069052E-3
5.502027500E-1,3.462331370E-4,-2.584745176E-3,-1.794245327E-3
6.506957500E-1,-2.881617285E-3,7.455805317E-4,-1.036963891E-3
7.511897500E-1,1.260618679E-3,1.028632279E-3,-1.151917968E-4
8.516827500E-1,-1.952117309E-4,4.714601673E-4,1.109260134E-3
9.521757500E-1,-1.897562295E-3,-1.447571442E-3,-4.389709793E-4
1.052668750E0,1.082506962E-3,-1.837249380E-3,-2.508917823E-4
1.153161750E0,-4.632975906E-4,4.165922292E-4,1.656719483E-3
1.253650708E0,-2.401769161E-4,9.871437214E-4,8.897783700E-4
1.354143708E0,-1.437054016E-3,-2.612841781E-3,-8.773051668E-4
1.454636708E0,-1.344476826E-3,-1.216947101E-3,-8.981705178E-4
1.555130708E0,-3.345580772E-4,1.404291485E-3,1.786040375E-3
1.655623708E0,-1.968641765E-3,1.833059825E-3,-6.081315223E-4
1.756116708E0,-1.934673637E-4,-2.576722763E-4,-2.572196536E-4
1.856609708E0,3.034844995E-4,-6.877258420E-5,4.127132706E-5
1.957102708E0,-5.165366456E-4,9.503504261E-4,5.487608723E-5
2.057595708E0,-6.500650197E-4,1.284179743E-3,-9.573239367E-4
2.158088708E0,-1.555606723E-3,-4.251869395E-4,1.973779174E-3
2.258582708E0,-2.360930666E-4,-1.830873080E-4,1.360347262E-3
2.359075708E0,1.449295320E-3,-8.517210372E-4,-1.303639961E-3
2.459568708E0,7.218373939E-4,1.947331708E-3,-3.671296872E-5
2.560062708E0,2.536795102E-3,-1.666417811E-3,-7.061127108E-4
2.660555708E0,1.619971357E-3,8.422769606E-4,-8.061493281E-4
2.761048708E0,-7.005948573E-4,7.676556706E-4,-1.557605574E-3
2.861541708E0,1.558579504E-3,1.326539554E-3,-1.899512601E-3
2.962034708E0,1.916460693E-3,6.285910495E-4,6.374786608E-5
3.062527708E0,3.922116011E-4,-1.014644280E-3,-4.335925914E-4
3.163020708E0,9.869486094E-4,-5.480572581E-4,2.612985438E-3
3.263513333E0,2.478138544E-3,-7.940493524E-4,-9.272713214E-4
3.364006333E0,1.897776499E-3,9.360783733E-4,-2.235097345E-4
3.464499333E0,-2.283092588E-3,-3.001095029E-3,1.554773189E-4
3.564992333E0,2.975445241E-4,8.997609839E-4,-1.299615949E-3
3.665485333E0,-1.812268049E-3,1.716606319E-3,1.283898018E-5
3.765978333E0,1.925335266E-3,-6.139110774E-4,-9.614932351E-4
3.866471333E0,-5.724634975E-4,1.561696641E-3,1.332896762E-3
3.966964333E0,1.464522444E-3,3.058921080E-3,1.554630231E-3
4.067457333E0,-1.547458582E-3,9.878324345E-4,-3.948698286E-4
4.167950333E0,-1.943018287E-4,3.630421124E-4,9.328410961E-4
4.268442958E0,-4.835333675E-5,6.208508275E-4,5.614103284E-4
4.368935958E0,-1.663081348E-4,-1.914941240E-3,5.822917446E-4
4.469428958E0,6.328504533E-4,7.821340114E-4,-1.700792462E-3
4.569921958E0,-2.284394577E-4,-4.338030703E-4,-1.503854990E-3
4.670414958E0,-1.207602210E-3,-1.622295473E-3,1.115044113E-3
4.770907958E0,8.982000872E-4,-1.738067716E-3,2.415149938E-4
4.871400958E0,1.339106821E-3,-2.219293732E-3,-1.352390740E-3
4.971893958E0,-2.361629158E-4,-1.967815682E-3,-1.053639222E-3
5.072385958E0,1.653579995E-3,-1.100098249E-3,-1.189578092E-3
5.172878958E0,-1.541731879E-3,-4.789642990E-4,2.751823049E-4
5.273372583E0,-7.935306057E-4,1.475381665E-3,1.476084348E-3
5.373865583E0,1.290879212E-3,5.182805471E-4,-8.549988270E-4
5.474358583E0,-1.299143769E-3,5.425717682E-4,-7.683548611E-4
5.574851583E0,1.496369019E-3,-1.284299418E-3,-9.246449918E-5
5.675344583E0,4.377160221E-4,-1.480272971E-3,5.309535190E-4
5.775837583E0,9.090974927E-4,-8.967421018E-4,-6.911668461E-4
5.876330583E0,-1.286305487E-4,-1.038939226E-3,-8.966363966E-4
5.976823583E0,8.594002575E-4,-2.441271208E-4,9.698539507E-4
6.077316583E0,-1.035825349E-3,-2.294783480E-4,-1.341574593E-3
6.177809583E0,-3.087893128E-4,-1.735752914E-3,1.264929306E-3
6.278302500E0,5.666119978E-4,1.828762237E-3,2.118303906E-3
6.378795500E0,-1.135546714E-3,2.025014255E-3,-4.206835292E-4
6.479288500E0,1.202490181E-3,1.808913890E-3,-1.161189284E-3
6.579782500E0,-2.370969392E-3,-8.513536304E-4,-2.278401051E-3
6.680275500E0,-3.576865420E-4,1.038943417E-3,4.784404300E-4
6.780768500E0,1.850632019E-3,-1.404791139E-3,-1.812770497E-4
6.881261500E0,-6.111040711E-4,-1.795939635E-3,-8.737694006E-4
6.981754500E0,-1.882025972E-3,9.175213054E-4,-1.090942882E-3
7.082248500E0,9.110411629E-4,5.946131423E-4,-1.636918285E-3
7.182741500E0,-1.177511178E-3,6.998497993E-4,6.037694402E-5
7.283235083E0,-1.477070153E-3,4.596447106E-3,-1.804745058E-3
7.383729083E0,-9.997487068E-4,1.487836707E-3,5.238240119E-4
7.484222083E0,3.670314327E-4,1.146384515E-3,-1.694311155E-3
7.584715083E0,6.094584242E-4,1.500708517E-3,-3.340959083E-4
7.685209083E0,-2.038565464E-3,1.030819025E-3,-5.205513444E-4
7.785702083E0,-3.829362802E-3,1.103192568E-3,4.131961614E-4
7.886196083E0,-2.463105135E-3,-7.098433562E-4,3.251563758E-4
7.986689083E0,6.605992094E-4,-1.051388681E-3,-1.585509162E-4
8.087183083E0,-9.066807106E-4,-1.725888811E-3,-1.501380466E-4
8.187676083E0,1.924549229E-3,-2.344497479E-4,1.222735737E-4
8.288169458E0,1.035593450E-3,-3.838045523E-4,4.358410370E-4
8.388662458E0,-1.570433378E-4,-4.309767857E-3,-2.094449708E-3
8.489156458E0,-2.119102515E-3,-6.031622179E-4,5.025672726E-5
8.589649458E0,-2.080937847E-3,1.108695753E-3,-1.215639059E-3
8.690143458E0,1.893530600E-3,1.828632317E-3,-1.235079020E-3
8.790636458E0,1.884954982E-3,8.029118180E-4,-7.269554771E-5
8.891130458E0,1.035472378E-3,-9.538521990E-4,1.836138312E-3
8.991623458E0,-9.517343715E-4,-1.522980630E-3,2.315414604E-4
9.092117458E0,-1.043949276E-3,6.638662890E-4,-3.358872840E-3
9.192611458E0,2.178683877E-3,-7.438249886E-4,4.169647582E-4
9.293104208E0,-1.960605383E-3,-2.026292495E-3,2.623808105E-4
9.393598208E0,-1.441134140E-3,-1.512551680E-4,-1.315625617E-3
9.494092208E0,1.134267077E-3,-1.210080925E-3,-1.564214006E-3
9.594585208E0,1.377232373E-3,8.682212792E-4,-9.924396873E-4
9.695079208E0,-3.031222150E-4,8.362168446E-4,1.062746160E-4
9.795573208E0,-8.116886020E-4,-1.138034277E-3,1.078863861E-3
9.896066208E0,-1.263432205E-5,1.324117184E-4,1.226344146E-3
9.996560208E0,6.938241422E-4,1.879659947E-3,1.182407141E-5
1.009705421E1,3.626868129E-4,3.037157934E-3,-1.426655799E-4
1.019754721E1,-4.911124706E-4,7.652863860E-4,-2.278028522E-3
1.029804133E1,-2.775815316E-3,3.231142648E-3,-1.863110578E-3
