"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.245906417E0,9.789642334E-2,4.882846069E-1,8.442144470E0
9.346405417E0,1.282832336E-1,6.587800598E-1,8.710236969E0
9.446905417E0,1.742376709E-1,1.970053253E0,8.722212067E0
9.547405417E0,-3.129991150E-1,4.492158508E-1,1.141705811E1
9.647905417E0,3.975732422E-1,-1.238674164E0,1.211266159E1
9.748405417E0,-3.204835510E-1,-1.050814819E-1,1.000564316E1
9.848904417E0,1.859133911E-1,-7.429051208E-1,9.655670929E0
9.949404417E0,-8.622070312E-2,1.884580994E-1,8.702453156E0
1.004990342E1,-1.832189941E-1,6.387217712E-1,8.957672424E0
1.015040242E1,3.550616455E-1,-2.921923828E-1,1.135987701E1
1.025089863E1,6.253994751E-1,-2.202669525E0,1.348889969E1
1.035139762E1,2.806663513E-1,-1.071771240E-1,1.020951920E1
1.045189662E1,-4.326004028E-1,6.259982300E-1,7.549850006E0
1.055239562E1,1.841171265E-1,4.781057739E-1,8.397237854E0
1.065289462E1,1.624122620E-1,9.060658264E-1,9.469607849E0
1.075339363E1,1.935475159E-1,7.403604126E-1,1.054841446E1
1.085389263E1,-1.736389160E-1,-8.845106506E-1,1.266561172E1
1.095439163E1,5.860313416E-1,3.638932800E-1,9.885742493E0
1.105489063E1,3.156935120E-1,2.522254944E-1,8.584648132E0
1.115538962E1,5.159770203E-1,8.102650452E-1,7.434889069E0
1.125588837E1,1.228944397E-1,1.021026764E0,9.145531769E0
1.135638837E1,1.972897339E-1,5.191204834E-1,1.119192627E1
1.145688737E1,3.811074829E-1,9.467811584E-1,1.135388947E1
1.155738637E1,1.644629974E0,-3.403921509E-1,9.982890472E0
1.165788538E1,8.345146179E-1,-5.340893555E-1,9.042396240E0
1.175838538E1,9.131011963E-1,4.185296631E-1,7.658374329E0
1.185888438E1,9.262738037E-1,1.004561005E0,9.444460144E0
1.195938338E1,2.706372070E-1,1.272354126E0,1.060828995E1
1.205988338E1,-6.872209167E-1,9.196875000E-1,1.159758270E1
1.216038238E1,9.842033386E-1,-3.817062378E-1,1.101334763E1
1.226088192E1,-5.935157776E-1,-9.961784363E-1,1.013677048E1
1.236138092E1,3.143463135E-3,1.695973206E-1,8.052654419E0
1.246188092E1,1.796264648E-3,1.351389771E0,7.991731110E0
1.256237992E1,2.086660767E-1,1.251996460E0,1.004920258E1
1.266287992E1,-5.225633240E-1,4.986131287E-1,1.157138718E1
1.276337992E1,7.259902954E-2,-4.111949158E-1,1.210652435E1
1.286387892E1,1.694476318E-1,-1.230441284E-1,8.823251953E0
1.296437892E1,1.453477478E-1,8.804690552E-1,7.999514923E0
1.306487892E1,3.044668579E-1,1.127605133E0,8.451125793E0
1.316537792E1,8.250842285E-1,2.861599274E0,9.025481415E0
1.326587904E1,-6.469546509E-1,8.650511169E-1,1.132799332E1
1.336637904E1,-4.936734009E-1,-1.826202393E-2,1.202195023E1
1.346687904E1,-2.363584900E-1,1.845661926E-1,9.190288696E0
1.356737904E1,3.921844482E-2,5.553451538E-2,9.779463501E0
1.366787804E1,1.930984497E-2,8.464897156E-1,7.907905426E0
1.376837804E1,5.298980713E-2,9.333091736E-1,8.921298065E0
1.386887804E1,6.137237549E-2,-7.484436035E-3,1.204619980E1
1.396937804E1,-1.317260742E0,-4.234693909E-1,1.184531754E1
1.406987804E1,-5.748046875E-2,-1.971400452E-1,1.029259644E1
1.417037804E1,-4.751119995E-1,3.353027344E-2,8.581504669E0
1.427087725E1,-6.861730957E-1,7.503895569E-1,8.879983978E0
1.437137725E1,-5.742059326E-1,3.083587646E-1,9.690548401E0
1.447187725E1,-6.896159363E-1,-1.282832336E-1,1.131332382E1
1.457237725E1,-9.753717041E-1,-9.364526367E-1,1.174966644E1
1.467287825E1,-1.200204163E0,4.932243347E-1,8.921896820E0
1.477337825E1,-8.102650452E-1,-3.167413330E-1,8.692124634E0
1.487387825E1,-8.178991699E-1,8.987310791E-1,7.936346283E0
1.497437825E1,-5.222639465E-1,3.579057312E-1,1.000728973E1
1.507487825E1,-1.130149841E-1,1.002914429E-2,1.105391327E1
1.517537925E1,5.361849976E-1,-1.649869080E0,1.193812454E1
1.527587917E1,-2.215393066E-2,-5.402265930E-1,9.655072174E0
1.537637917E1,-2.627037048E-1,2.459385681E-1,8.451275482E0
1.547688017E1,-7.334747314E-2,8.960366821E-1,8.098908234E0
1.557738017E1,-1.669029236E-1,1.193468170E0,1.020622604E1
1.567788017E1,-1.073268127E-1,4.174818420E-1,1.098011673E1
1.577838117E1,-6.833290100E-1,-1.443148956E0,1.105166794E1
1.587888117E1,-8.120613098E-1,3.227288818E-1,8.835227051E0
1.597938217E1,-8.866062927E-1,-2.606080627E-1,9.093889160E0
1.607988217E1,-1.820214844E-1,6.102809143E-1,8.184380493E0
1.618038217E1,-4.697232056E-1,8.002359009E-1,9.533075867E0
1.628088350E1,-1.854643250E-1,-1.586700439E-2,1.113220047E1
1.638138350E1,4.180805969E-1,3.441343689E-1,1.095646591E1
1.648188450E1,-1.817221069E-1,4.589456177E-1,8.958869934E0
1.658238450E1,2.859054565E-2,4.634362793E-1,8.378975830E0
1.668288550E1,1.570234680E-1,1.015937347E0,8.508007507E0
1.678338650E1,3.403921509E-1,1.266665955E0,9.665251007E0
1.688388650E1,7.036866760E-1,2.646496582E-1,1.107292374E1
1.698438750E1,5.519023132E-1,9.669891357E-2,1.098490677E1
1.708488750E1,4.534071350E-1,-3.567082214E-1,1.003917343E1
1.718538850E1,-1.559756470E-1,2.032772827E-1,8.230933685E0
1.728589387E1,5.233117676E-1,7.934999084E-1,8.588989105E0
1.738639388E1,4.390370178E-1,8.071215820E-1,9.487720184E0
1.748689488E1,5.391787720E-1,3.769161987E-1,1.081156723E1
1.758739588E1,9.054670715E-1,-9.707313538E-1,1.100900665E1
1.768789588E1,1.468745728E0,-3.900888062E-1,1.045411057E1
1.778839688E1,3.650907898E-1,8.786727905E-1,8.548722839E0
1.788889787E1,2.002835083E-1,1.106948090E0,8.580606537E0
1.798939887E1,5.783972168E-1,1.592238922E0,8.676856384E0
1.808989887E1,1.335223389E0,3.977229309E-1,1.142843445E1
1.819039987E1,1.838776245E0,-1.440753937E0,1.252146149E1
1.829090329E1,1.012943573E0,-4.167333984E-1,1.077384567E1
1.839140429E1,1.062789917E-2,2.201921082E-1,8.941955109E0
1.849190529E1,3.830534363E-1,9.000782776E-1,8.343798981E0
1.859240529E1,1.579216003E-1,1.023421783E0,9.746382294E0
1.869290629E1,-5.388793945E-2,8.650511169E-1,1.119581818E1
1.879340729E1,1.464853821E0,-3.829037476E-1,1.072968750E1
1.889390829E1,3.071612549E-1,7.581733704E-1,8.632249146E0
