"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.227107545E1,-7.180681975E1,1.531573753E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.133831024E-1,4.227106891E1,-7.180682627E1,1.531581230E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.295950055E0,4.227106604E1,-7.180680216E1,1.531583214E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.423909068E0,4.227107329E1,-7.180683240E1,1.531584282E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.342461908E1,4.227106442E1,-7.180676121E1,1.531580124E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.943238711E1,4.227106606E1,-7.180679963E1,1.531581230E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.543206906E1,4.227106985E1,-7.180681571E1,1.531582146E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.143487608E1,4.227107592E1,-7.180687628E1,1.531582832E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.743353903E1,4.227107028E1,-7.180677883E1,1.531583481E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.343793201E1,4.227107197E1,-7.180677706E1,1.531583939E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.942810309E1,4.227106317E1,-7.180671743E1,1.531584320E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.542583907E1,4.227106713E1,-7.180674608E1,1.531584587E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.142639005E1,4.227106651E1,-7.180683078E1,1.531584663E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.742803502E1,4.227107144E1,-7.180681851E1,1.531584969E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.342689109E1,4.227107104E1,-7.180674767E1,1.531585236E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.942134106E1,4.227106641E1,-7.180675242E1,1.531585274E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.541039908E1,4.227106521E1,-7.180675590E1,1.531585426E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.140884709E1,4.227106150E1,-7.180669544E1,1.531585693E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
9.742407608E1,4.227106742E1,-7.180673357E1,1.531585808E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.034247581E2,4.227106777E1,-7.180671710E1,1.531585960E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.094131581E2,4.227106233E1,-7.180672143E1,1.531586075E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.154061770E2,4.227106685E1,-7.180672782E1,1.531586266E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
