"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.783200000E-2,-1.615036964E1,-4.229676056E1,4.513823509E0
1.683240000E-1,-1.612020874E1,-4.241318512E1,4.365015030E0
2.688150000E-1,-1.611377144E1,-4.234293365E1,4.544541359E0
3.693070000E-1,-1.609897614E1,-4.245954895E1,4.475030422E0
4.697980000E-1,-1.615081787E1,-4.243986893E1,4.501370430E0
5.702900000E-1,-1.619778442E1,-4.240274811E1,4.338285446E0
6.707820000E-1,-1.611400604E1,-4.222003555E1,4.296560287E0
7.712730000E-1,-1.613082886E1,-4.232612228E1,4.429950237E0
8.717650000E-1,-1.608210182E1,-4.236341095E1,4.484316349E0
9.722560000E-1,-1.612341309E1,-4.222934723E1,4.322701454E0
1.072748000E0,-1.619309807E1,-4.237644196E1,4.472420692E0
1.173240000E0,-1.616683578E1,-4.252444458E1,4.278828621E0
1.273731000E0,-1.615644646E1,-4.231165695E1,4.322476387E0
1.374223000E0,-1.619826126E1,-4.217577744E1,4.278588772E0
1.474714000E0,-1.613870049E1,-4.217952728E1,4.269768715E0
1.575206000E0,-1.610652542E1,-4.216212845E1,4.383215904E0
1.675697000E0,-1.624870682E1,-4.205566406E1,4.093354702E0
1.776189000E0,-1.624237442E1,-4.211414337E1,4.044661522E0
1.876683500E0,-1.610263634E1,-4.226986313E1,4.190432549E0
1.977175500E0,-1.623871040E1,-4.229568863E1,4.145156384E0
2.077667500E0,-1.627893829E1,-4.220459366E1,4.336218357E0
2.178158500E0,-1.632017517E1,-4.211203384E1,4.190190792E0
2.278650500E0,-1.630338669E1,-4.217112732E1,4.050605774E0
2.379141500E0,-1.640454865E1,-4.202902603E1,4.187445641E0
2.479633500E0,-1.631090164E1,-4.219750977E1,4.207889557E0
2.580124500E0,-1.621603394E1,-4.212472153E1,4.077531815E0
2.680616500E0,-1.638299751E1,-4.202546692E1,4.139636993E0
2.781107500E0,-1.639700890E1,-4.224919891E1,4.198802948E0
2.881594875E0,-1.637761116E1,-4.204147339E1,4.115511417E0
2.982086875E0,-1.632099152E1,-4.211024475E1,4.136856556E0
3.082577875E0,-1.621089363E1,-4.210462952E1,4.112177372E0
3.183069875E0,-1.617961502E1,-4.211154938E1,4.106237411E0
3.283560875E0,-1.621047592E1,-4.215564728E1,4.143189907E0
3.384052875E0,-1.605696869E1,-4.230672073E1,4.383414745E0
3.484543875E0,-1.618285751E1,-4.212937164E1,4.078754902E0
3.585034875E0,-1.618939209E1,-4.206650162E1,3.963642597E0
3.685526875E0,-1.628566551E1,-4.195120621E1,4.211405754E0
3.786017875E0,-1.619473839E1,-4.196401596E1,3.941562176E0
3.886509875E0,-1.616500854E1,-4.206440353E1,3.956210136E0
3.987000875E0,-1.612002945E1,-4.219605637E1,3.904036522E0
4.087491875E0,-1.614141083E1,-4.216451263E1,4.096307278E0
4.187983875E0,-1.610187340E1,-4.209099197E1,4.009160995E0
4.288474875E0,-1.605506325E1,-4.198249435E1,4.115212440E0
4.388965875E0,-1.625476456E1,-4.200962448E1,4.063806534E0
4.489457875E0,-1.618011284E1,-4.206795120E1,4.173563004E0
4.589948875E0,-1.610666656E1,-4.213495636E1,4.072627068E0
4.690439875E0,-1.610845375E1,-4.221801758E1,4.101007462E0
4.790931875E0,-1.609926605E1,-4.224215698E1,4.247296810E0
4.891422750E0,-1.615511513E1,-4.195431900E1,4.357628345E0
4.991913750E0,-1.622984505E1,-4.192414856E1,4.159185410E0
5.092405750E0,-1.625655556E1,-4.188267136E1,4.162292480E0
5.192896750E0,-1.627653885E1,-4.198257065E1,4.181616783E0
5.293387750E0,-1.621061707E1,-4.212989044E1,4.170214176E0
5.393878750E0,-1.614035797E1,-4.212836838E1,4.190865040E0
5.494370750E0,-1.625331497E1,-4.206987762E1,4.016525269E0
5.594861750E0,-1.617123985E1,-4.201464462E1,4.120709896E0
5.695352750E0,-1.625480843E1,-4.197278976E1,4.083425045E0
5.795843750E0,-1.617576981E1,-4.203992462E1,4.043456554E0
5.896338292E0,-1.627078819E1,-4.201103592E1,4.096335888E0
5.996830292E0,-1.631003189E1,-4.204331970E1,4.116800308E0
6.097321292E0,-1.623081970E1,-4.213170242E1,4.099978924E0
6.197812292E0,-1.628483200E1,-4.209616089E1,3.903418064E0
6.298303292E0,-1.622896576E1,-4.221250916E1,4.060698032E0
6.398794292E0,-1.623905754E1,-4.212188339E1,4.194451332E0
6.499285292E0,-1.630980682E1,-4.203554535E1,4.015035629E0
6.599777292E0,-1.612546539E1,-4.208733749E1,4.165040970E0
6.700268292E0,-1.614556885E1,-4.208657455E1,4.096671581E0
6.800759292E0,-1.608660507E1,-4.207266235E1,4.229137897E0
6.901246167E0,-1.617198563E1,-4.209648895E1,4.268822670E0
7.001737167E0,-1.612346840E1,-4.205704498E1,4.247483253E0
7.099716167E0,-1.613479614E1,-4.197201920E1,4.288118362E0
7.200207167E0,-1.610804749E1,-4.201304626E1,4.227688789E0
7.300698167E0,-1.611894035E1,-4.211463165E1,4.272088051E0
7.401189167E0,-1.612702560E1,-4.209641647E1,4.518985748E0
7.501680167E0,-1.620825958E1,-4.193125153E1,4.307084560E0
7.602171167E0,-1.619100571E1,-4.210702896E1,4.261685848E0
7.702662167E0,-1.613441849E1,-4.221554565E1,4.260646820E0
7.803153167E0,-1.610070038E1,-4.214160538E1,4.340788364E0
7.903645125E0,-1.613295555E1,-4.216168976E1,4.196476460E0
8.004136125E0,-1.610163307E1,-4.226382828E1,4.340295792E0
8.104627125E0,-1.613205338E1,-4.230069733E1,4.302471161E0
8.205118125E0,-1.618244171E1,-4.227701950E1,4.275708675E0
8.305609125E0,-1.614639473E1,-4.224377823E1,4.341624260E0
8.406100125E0,-1.617547226E1,-4.201121521E1,4.283102512E0
8.506591125E0,-1.620812416E1,-4.216415787E1,4.202448368E0
8.607082125E0,-1.626424408E1,-4.206815338E1,4.334742546E0
8.707573125E0,-1.622911644E1,-4.209787369E1,4.274158001E0
8.808064125E0,-1.623815536E1,-4.209734344E1,4.238874435E0
8.908558667E0,-1.629862022E1,-4.208628464E1,4.233602047E0
9.009049667E0,-1.611458969E1,-4.224284363E1,4.164336205E0
9.109540667E0,-1.617333221E1,-4.212369919E1,4.351030827E0
9.210031667E0,-1.616989517E1,-4.215381622E1,4.395137787E0
