"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.436306250E-1,1.155242920E0,2.324457550E1,-4.078771210E1,4.696043371E1
7.536796250E-1,1.151947975E0,2.327727127E1,-4.075519562E1,4.694831532E1
7.637286250E-1,1.220326424E0,2.319807816E1,-4.066401672E1,4.683163763E1
7.737776250E-1,1.208480835E0,2.318317032E1,-4.062013245E1,4.678584158E1
7.838266250E-1,1.240237236E0,2.319761658E1,-4.070577240E1,4.686819295E1
7.938756250E-1,1.277165413E0,2.322953033E1,-4.077996826E1,4.694942004E1
8.039246250E-1,1.281529427E0,2.322535133E1,-4.067810822E1,4.685901995E1
8.139736250E-1,1.298818588E0,2.323745728E1,-4.051190186E1,4.672130716E1
8.240226250E-1,1.264900208E0,2.329289627E1,-4.054892731E1,4.678006515E1
8.340716250E-1,1.195928574E0,2.335622406E1,-4.059628296E1,4.685084458E1
8.441206250E-1,1.139031410E0,2.336771011E1,-4.061038971E1,4.686737694E1
8.541696250E-1,1.193868637E0,2.339880371E1,-4.060931396E1,4.688332025E1
8.642186250E-1,1.135149002E0,2.339638710E1,-4.063282013E1,4.690101880E1
8.742676250E-1,1.196540833E0,2.326386642E1,-4.062253571E1,4.682765847E1
8.843166250E-1,1.233083725E0,2.319786835E1,-4.065364838E1,4.682286533E1
8.943666250E-1,1.191054344E0,2.321442795E1,-4.068698883E1,4.685893016E1
9.044156250E-1,1.175588608E0,2.324122620E1,-4.068566895E1,4.687067592E1
9.144646250E-1,1.179286003E0,2.326349068E1,-4.068644714E1,4.688248815E1
9.245136250E-1,1.185807228E0,2.317325401E1,-4.073886108E1,4.688347942E1
9.345626250E-1,1.181092262E0,2.316657639E1,-4.076010132E1,4.689851916E1
9.446116250E-1,1.178036690E0,2.316511154E1,-4.079773712E1,4.693043274E1
9.546606250E-1,1.206563950E0,2.316654015E1,-4.085205841E1,4.697909168E1
9.647096250E-1,1.215217590E0,2.317788506E1,-4.089004517E1,4.701794235E1
9.747586250E-1,1.192399025E0,2.316916084E1,-4.089651489E1,4.701868522E1
9.848076250E-1,1.209733963E0,2.309232903E1,-4.093730164E1,4.701682445E1
9.948566250E-1,1.185522079E0,2.307862663E1,-4.095996094E1,4.702921294E1
1.004905625E0,1.161362648E0,2.312806320E1,-4.082396698E1,4.693455391E1
1.014954625E0,1.153198242E0,2.323347855E1,-4.075167084E1,4.692358754E1
1.025003625E0,1.165108681E0,2.323951912E1,-4.085240173E1,4.701437498E1
1.035052625E0,1.135227203E0,2.329482460E1,-4.086155701E1,4.704895785E1
1.045101625E0,1.133687019E0,2.332368660E1,-4.071788788E1,4.693853424E1
1.055151625E0,1.114112854E0,2.330113983E1,-4.073665619E1,4.694315203E1
1.065200625E0,1.146638870E0,2.332420731E1,-4.081107330E1,4.701996524E1
1.075249625E0,1.129828453E0,2.336849594E1,-4.084846497E1,4.707398650E1
1.085298625E0,1.029397964E0,2.347814560E1,-4.097963715E1,4.723995810E1
1.095347625E0,9.940462112E-1,2.350189781E1,-4.100862885E1,4.727615645E1
1.105396625E0,9.390325546E-1,2.343859863E1,-4.105456543E1,4.728347524E1
1.115445625E0,1.004797935E0,2.337862206E1,-4.114202881E1,4.733113270E1
1.125494625E0,1.030196190E0,2.340487671E1,-4.103897858E1,4.725513010E1
1.135543625E0,1.037664413E0,2.345980263E1,-4.101611328E1,4.726267698E1
1.145592625E0,1.010458946E0,2.344408417E1,-4.093075562E1,4.718021688E1
1.155641625E0,1.049960136E0,2.342448044E1,-4.079480743E1,4.705342723E1
1.165690625E0,1.073199272E0,2.339339066E1,-4.080526733E1,4.704755387E1
1.175739625E0,1.096220016E0,2.349268723E1,-4.089315796E1,4.717370474E1
1.185788625E0,1.109878540E0,2.356551743E1,-4.097818756E1,4.728400679E1
1.195837625E0,1.116124153E0,2.360212898E1,-4.099898529E1,4.732042921E1
1.205886625E0,1.091212273E0,2.354937744E1,-4.093365479E1,4.723693487E1
1.215936625E0,1.046777725E0,2.352846909E1,-4.093143463E1,4.722358460E1
1.225985625E0,1.000826836E0,2.359177017E1,-4.085909271E1,4.719151122E1
1.236034625E0,9.954118729E-1,2.367234612E1,-4.080364990E1,4.718377540E1
1.246083625E0,9.635791779E-1,2.367711449E1,-4.083181763E1,4.720986725E1
1.256132625E0,9.927682877E-1,2.367316628E1,-4.091855621E1,4.728353448E1
1.266181625E0,9.916448593E-1,2.358591461E1,-4.099156189E1,4.730313810E1
1.276230625E0,9.560985565E-1,2.363829041E1,-4.093415070E1,4.727882815E1
1.286279625E0,9.988479614E-1,2.351033974E1,-4.093407440E1,4.721580476E1
1.296328625E0,1.023077011E0,2.346930695E1,-4.093941498E1,4.720053764E1
1.306377625E0,1.006995201E0,2.344476891E1,-4.092720032E1,4.717739876E1
1.316426625E0,9.955406189E-1,2.337771606E1,-4.101949310E1,4.722401427E1
1.326475625E0,1.007006645E0,2.335210419E1,-4.096923828E1,4.716792679E1
1.336524625E0,9.992990494E-1,2.331699944E1,-4.088081360E1,4.707358051E1
1.346573625E0,9.797925949E-1,2.336846542E1,-4.091746521E1,4.713050105E1
1.356622625E0,9.837923050E-1,2.337676048E1,-4.095413971E1,4.716653832E1
1.366671625E0,9.541368484E-1,2.333669090E1,-4.095819092E1,4.714960151E1
1.376720625E0,9.230461121E-1,2.339013863E1,-4.088548279E1,4.711234766E1
1.386770625E0,9.185009003E-1,2.342567444E1,-4.088429260E1,4.712887913E1
1.396819625E0,9.558143616E-1,2.336030579E1,-4.090784454E1,4.711761043E1
1.406868625E0,1.004662514E0,2.331252289E1,-4.102078247E1,4.719308916E1
1.416917625E0,1.063287735E0,2.324242020E1,-4.103791809E1,4.717469023E1
1.426966625E0,1.063139915E0,2.323873520E1,-4.099999237E1,4.713988178E1
1.437015625E0,1.097680092E0,2.329637146E1,-4.082141876E1,4.701397723E1
1.447064625E0,1.065473557E0,2.334207153E1,-4.084105682E1,4.705294316E1
1.457113625E0,1.022664070E0,2.346423912E1,-4.096461487E1,4.721986902E1
1.467162625E0,9.330635071E-1,2.349343109E1,-4.107847595E1,4.733131203E1
1.477211625E0,9.990606308E-1,2.351594162E1,-4.101336670E1,4.728735434E1
1.487260625E0,9.865474701E-1,2.346973228E1,-4.083277130E1,4.710750282E1
1.497309625E0,1.025372505E0,2.346387291E1,-4.086619568E1,4.713438946E1
1.507358625E0,9.951820374E-1,2.344606018E1,-4.100202179E1,4.724271284E1
1.517407625E0,1.004098892E0,2.335417557E1,-4.100115967E1,4.719661879E1
1.527456625E0,1.023589134E0,2.332555771E1,-4.104112244E1,4.721761438E1
1.537505625E0,1.021844864E0,2.340499115E1,-4.090297699E1,4.713694203E1
1.547554625E0,1.010191917E0,2.348510551E1,-4.086158752E1,4.714064068E1
1.557604625E0,1.038084030E0,2.340515518E1,-4.078937531E1,4.703883550E1
1.567653625E0,1.014289856E0,2.332050514E1,-4.075625610E1,4.696751170E1
1.577702625E0,1.093252182E0,2.328748322E1,-4.079759216E1,4.698878165E1
1.587751625E0,1.072999954E0,2.329607582E1,-4.074668884E1,4.694838793E1
1.597800625E0,1.133670807E0,2.344143295E1,-4.071069336E1,4.699091978E1
1.607849625E0,1.121880531E0,2.350157928E1,-4.074499512E1,4.705037164E1
1.617898625E0,1.107378960E0,2.346906281E1,-4.077376556E1,4.705872029E1
1.627947625E0,1.101374626E0,2.346273422E1,-4.079226685E1,4.707145587E1
1.637996625E0,1.058807373E0,2.349278450E1,-4.072907257E1,4.703072771E1
1.648045625E0,1.085651398E0,2.349798584E1,-4.074197388E1,4.704511040E1
1.658094958E0,1.116433144E0,2.347297287E1,-4.075265503E1,4.704259528E1
1.668143958E0,1.069249153E0,2.348172569E1,-4.075337982E1,4.704649511E1
1.678192958E0,1.044882774E0,2.347714424E1,-4.079481506E1,4.707956051E1
1.688241958E0,1.083620071E0,2.335602570E1,-4.087309265E1,4.708808630E1
1.698290958E0,1.046167374E0,2.332790756E1,-4.087675476E1,4.707647839E1
1.708339958E0,1.052252769E0,2.331176186E1,-4.083127594E1,4.702912472E1
1.718388958E0,1.087137222E0,2.334221649E1,-4.079357147E1,4.701230064E1
1.728438958E0,1.087884903E0,2.335933304E1,-4.086418915E1,4.708209732E1
1.738487958E0,1.095236778E0,2.334080124E1,-4.080162048E1,4.701877051E1
1.748536958E0,1.111203194E0,2.342487526E1,-4.086176300E1,4.711308978E1
1.758585958E0,1.115398407E0,2.345745850E1,-4.092682648E1,4.718581988E1
1.768634958E0,1.101856232E0,2.346547699E1,-4.100690460E1,4.725895600E1
1.778683958E0,1.140977859E0,2.342395401E1,-4.102516937E1,4.725513701E1
1.788732958E0,1.165408134E0,2.333407593E1,-4.089874268E1,4.710142703E1
1.798781958E0,1.083319664E0,2.332773972E1,-4.089569092E1,4.709367853E1
1.808830958E0,1.085772514E0,2.333549881E1,-4.093997192E1,4.713603407E1
1.818879958E0,1.133769035E0,2.332035065E1,-4.093726349E1,4.712731404E1
1.828928958E0,1.129265785E0,2.326338196E1,-4.101796722E1,4.716920411E1
1.838977958E0,1.057466507E0,2.330064392E1,-4.101109314E1,4.717995340E1
1.849026958E0,1.132470131E0,2.329623032E1,-4.103763580E1,4.720258878E1
1.859075958E0,1.196913719E0,2.335247803E1,-4.103608704E1,4.723061795E1
1.869124958E0,1.175891876E0,2.342432404E1,-4.101078796E1,4.724369172E1
1.879173958E0,1.210253716E0,2.347390556E1,-4.100259399E1,4.726205318E1
1.889222958E0,1.134343147E0,2.348953438E1,-4.099428558E1,4.726072799E1
1.899271958E0,1.190646172E0,2.341174126E1,-4.093876648E1,4.717530994E1
1.909320958E0,1.185940742E0,2.339150047E1,-4.092366791E1,4.715204497E1
1.919370958E0,1.195561409E0,2.336513138E1,-4.093708801E1,4.715086326E1
1.929419958E0,1.179240227E0,2.340650558E1,-4.095336151E1,4.718509225E1
