"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.336310417E-1,-1.963912582E1,-4.027391815E1,2.983652592E0,4.490641301E1
7.436810417E-1,-1.965756416E1,-4.028446198E1,3.019388676E0,4.492632206E1
7.537310417E-1,-1.971001244E1,-4.028699493E1,3.060801029E0,4.495436635E1
7.637800417E-1,-1.970292282E1,-4.023448944E1,3.051017284E0,4.490354123E1
7.738300417E-1,-1.969058990E1,-4.027178955E1,3.121959209E0,4.493643281E1
7.838800417E-1,-1.970726204E1,-4.023318481E1,3.136582851E0,4.491017134E1
7.939300417E-1,-1.967221832E1,-4.017413330E1,3.139947891E0,4.484212788E1
8.039790417E-1,-1.964224625E1,-4.024233246E1,3.226825714E0,4.489627561E1
8.140290417E-1,-1.957711792E1,-4.034062958E1,3.300007820E0,4.496131662E1
8.240790417E-1,-1.955644226E1,-4.036324310E1,3.201000690E0,4.496545600E1
8.341280417E-1,-1.963487244E1,-4.031212616E1,3.201618671E0,4.495382179E1
8.441780417E-1,-1.966596985E1,-4.028134155E1,3.215821266E0,4.494083170E1
8.542280417E-1,-1.960524368E1,-4.022559357E1,3.275949955E0,4.486865059E1
8.642780417E-1,-1.955135727E1,-4.033347321E1,3.295660973E0,4.494336451E1
8.743270417E-1,-1.958589745E1,-4.032450104E1,3.229782104E0,4.494556992E1
8.843770417E-1,-1.961584473E1,-4.030499268E1,3.247928619E0,4.494243918E1
8.944270417E-1,-1.964131165E1,-4.028341675E1,3.237930775E0,4.493349512E1
9.044760417E-1,-1.964870071E1,-4.029382324E1,3.233819008E0,4.494575861E1
9.145260417E-1,-1.967193604E1,-4.024409485E1,3.232474327E0,4.491125836E1
9.245760417E-1,-1.965646744E1,-4.025142670E1,3.182183743E0,4.490746438E1
9.346260417E-1,-1.968267250E1,-4.018911743E1,3.146300316E0,4.486058362E1
9.446750417E-1,-1.965608406E1,-4.025382233E1,3.182611465E0,4.490947415E1
9.547250417E-1,-1.963194656E1,-4.028101349E1,3.218642235E0,4.492586150E1
9.647750417E-1,-1.957457924E1,-4.031076050E1,3.106408596E0,4.491960973E1
9.748240417E-1,-1.961731529E1,-4.030974579E1,3.081746101E0,4.493564091E1
9.848740417E-1,-1.960698318E1,-4.033161163E1,3.177054405E0,4.495738383E1
9.949240417E-1,-1.959479713E1,-4.038265228E1,3.305196762E0,4.500709950E1
1.004974042E0,-1.963398743E1,-4.034651184E1,3.377013206E0,4.499709655E1
1.015023042E0,-1.963002396E1,-4.033056641E1,3.402255535E0,4.498297200E1
1.025073042E0,-1.961701965E1,-4.030640411E1,3.309318542E0,4.494869589E1
1.035123042E0,-1.961481285E1,-4.027503967E1,3.239149094E0,4.491449422E1
1.045172042E0,-1.956130791E1,-4.029476166E1,3.173331261E0,4.490414920E1
1.055222042E0,-1.950058174E1,-4.034658813E1,3.092672348E0,4.491864295E1
1.065272042E0,-1.953734398E1,-4.028515625E1,3.087770939E0,4.487912603E1
1.075322042E0,-1.960820580E1,-4.029034424E1,3.002421379E0,4.490888673E1
1.085371042E0,-1.963969231E1,-4.026626587E1,2.915373802E0,4.489531251E1
1.095421042E0,-1.964516068E1,-4.016787720E1,2.925366879E0,4.481013800E1
1.105471042E0,-1.964219856E1,-4.014324188E1,2.897242069E0,4.478492877E1
1.115521042E0,-1.963397598E1,-4.012887573E1,3.009924889E0,4.477587887E1
1.125570042E0,-1.959835243E1,-4.017787933E1,3.172616005E0,4.481543147E1
